AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
Coachella Valley WD,Coachella Valley WD WWTP,CA0104973,R7-2023-0013.pdf,No,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,FUTURE,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Colfax City,City of Colfax WWTP,CAG585001,r5-2023-0025-001_noa.pdf,No,0,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
Colton City,Colton WRF,CA0105236,12-0050_City_of_Colton_WDR.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
Colton/San Bernardino RTT&WRA,"Colton/San Bernadino STP, RIX",,13-0032_Coton-San_Bernardino_RTT_Water_Reclam_Auth.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colusa City,City of Colusa WWTP,CA0078999,r5-2022-0020_npdes.pdf,Yes,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0
Corning City,City of Corning WWTP,CA0004995,r5-2022-0022_npdes.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Corona City DWP,Corona WWRF #3,,14-0015_City_of_Corona_DW&P_WD&RR_WRF_No_3.pdf,No,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corona City DWP,Corona WWRF #1,,R8-2020-0021_City_of_ Corona_ (final version).pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
"Country Life MHRVP Asset Partners, L.P.",Country Life MHPRV Asset Partners LP WWTP,CA0104264,R7-2023-0041.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Covelo CSD,Covelo POTW,CA0023574,23_0006_covelo_csd_06.20.2023_eosigned.pdf,No,PRESENT,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Crescent City,Crescent City WWTP,CA0022756,23_0039_CrescentCity_NPDES.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,FUTURE,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0
Crockett Community Services District,Port Costa WWTP,CA0037885,R2-2024-0009 Port Costa NPDES Order.pdf,No,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Cutler-Orosi JT Powers WW Authority,Cutler-Orosi WWTF,CA0081485,r5-2025-0013_ndpes.pdf,No,0,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,FUTURE,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0
Date Gardens Asset Partners LP,Date Gardens MHP WWTP,CA0104841,Order R7-2023-0046- Date Gardens MHPWWTP_NPDES.pdf,No,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Davis City,City of Davis WWTP,CA0079049,r5-2025-0026_npdes.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,0,0
Delta Diablo,Delta Diablo WWTP,,R2-2019-0035.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT_AND_FUTURE,0,PRESENT,0,0,0,0,PRESENT,0,PRESENT_AND_FUTURE,0,0,0,0,0,0
Donner Summit Public Utilities District,Donner Summit PUD WWTP,,R5-2021-0023_npdes.pdf,Yes,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Dublin San Ramon Services District (WWTP NPDES & SSO),Dublin San Ramon SD WWTP,CA0037613,DSRSD - R2-2022-2024.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT_AND_FUTURE,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0
Dunsmuir City,Dunsmuir WWTP,CA0078441,r5-2024-0009_npdes.pdf,No,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,FUTURE,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0
East Bay Dischargers Authority,EBDA Common Outfall,CA0037869,EBDA - R2-2022-0023.pdf,Yes,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,0,0,0,FUTURE,FUTURE,FUTURE,FUTURE,0,FUTURE,0,FUTURE,0,FUTURE,0,0,0,0,0,0
Hayward City,Hayward WPCF,,EBDA - R2-2022-0023.pdf,Yes,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,0,0,0,FUTURE,FUTURE,FUTURE,FUTURE,0,FUTURE,0,FUTURE,0,FUTURE,0,0,0,0,0,0
San Leandro City,San Leandro WPCP,,EBDA - R2-2022-0023.pdf,Yes,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,0,0,0,FUTURE,FUTURE,FUTURE,FUTURE,0,FUTURE,0,FUTURE,0,FUTURE,0,0,0,0,0,0
Union Sanitary District,Raymond A. Boege Alvarado WWTP (Union SD),,EBDA - R2-2022-0023.pdf,Yes,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT,0,0,0,0,0,0,0,0,FUTURE,FUTURE,FUTURE,FUTURE,0,FUTURE,0,FUTURE,0,FUTURE,0,0,0,0,0,0
East Bay MUD (WPCP),EBMUD SD#1-Wet Wthr Bypass,CA0038440,R2-2025-0006.pdf,No,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
East Bay MUD (WPCP),EBMUD WPCP,CA0037702,R2-2020-0024.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Eastern Municipal Water District,Temescal Creek Outfall,CA8000188,R8-2015-0006_EMWD_Temescal_Creek_Discharge.pdf,No,0,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0
El Centro City,El Centro City WWTP,CA0104426,R7-2024-0041.pdf,No,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Irrigation District,Deer Creek WWTP,CAC433255,eid_deercreek_wwtp_mgo_noa_revised.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
El Dorado Irrigation District,El Dorado Hills WWTP,,eid_edh_wwtp_mgo_noa_final.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Elsinore Valley Municipal Water District,EVMWD Regional WWRF,,13-0017_Elsinore_Valley_MWD_RWRF_Renewal_WDR_&_NPDES_Permit.pdf,No,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
Encina Wastewater Authority,Vallecitos WD Meadowlark WRP,,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0
Encina Wastewater Authority,Encina Water Pollution Control Facility,,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0
Encina Wastewater Authority,Encina Ocean Outfall,CA0107395,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0
Encina Wastewater Authority,Carlsbad WRF,CA0107395,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0
Carlsbad MWD,Carlsbad WRF,,EncinaOO_FinalOrderR9-2018-0059.pdf,Yes,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0
Escondido City,Membrane Filtration/Reverse Osmosis Facility - Escondido,,CA0107981_OrderR920180002.pdf,Yes,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,FUTURE,0,PRESENT_AND_FUTURE,0,PRESENT,0,0,0,FUTURE,0,0,PRESENT,0,0,0,0,0,0
Escondido City,HARRF DISCH to San Elijo Ocean Outfall,,CA0107981_OrderR920180002.pdf,Yes,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,FUTURE,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,FUTURE,0,PRESENT_AND_FUTURE,0,PRESENT,0,0,0,FUTURE,0,0,PRESENT,0,0,0,0,0,0
Eureka City,Eureka City Elk River WWTP,CA0024449,23_0016_Eureka_WWTP_NPDES_09.21.23.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0
Fairfield Suisun Sewer District,Fairfield-Suisun Sewer District Subregional WWTP,CA0038024,Order R2-2025-0028.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,FUTURE,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0
Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,AmendedOrderR9-2019-0169_DigitalSignature signed dwg 12-14-21.pdf,Yes,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,AmendingOrderR920210204_DigitalSignature signed dwg 12-17-21.pdf,Yes,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,Fallbrook_Final_Adopted_Order_R9-2019-0169.pdf,Yes,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,R9-2019-0169_Amended2020 signed dwg 08-17-20.pdf,Yes,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Fallbrook Public Utility District,Fallbrook Water Reclamation Plant,,R9-2020-0193_Final_Order signed dwg 08-17-20.pdf,Yes,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
