Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
HELENA WWTP,01000080001,"$10,000,000","$25,000,000","$11,816,560","$7,495,400",,,,"$54,311,960",1.54,4.95,6,"15,420",,"1,412",,"15,420","16,184",,648,,"16,184",AL0023116,Individual Permit,"HELENA, CITY OF, UB",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
HOOVER RIVERCHASE WWTP,01000083001,,"$20,000,000","$2,949,000",,,,,"$22,949,000",1.619,3,3,"8,015",,"2,695",,"8,015","8,950",,"2,144",,"8,950",AL0041653,Individual Permit,City of Hoover,Jefferson,Cahaba,03150202,6th Congressional District,AL,4,MAP
HOOVER INVERNESS WWTP,01000083002,,"$20,000,000","$3,867,680",,,,,"$23,867,680",.872,1.2,1.2,"10,455",,648,,"10,455","10,455",,648,,"10,455",AL0025852,Individual Permit,"HOOVER, CITY OF",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
HUNTSVILLE SPRING BRANCH WWTP,01000085001,,,"$30,675,000","$3,643,377",,,,"$34,318,377",14.2,41,41,"45,000",,"4,814",,"45,000","50,000",,"3,675",,"50,000",AL0058394,Individual Permit,CITY OF HUNTSVILLE,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
HUNTSVILLE CHASE (#3) WWTP,01000085002,,,"$1,842,500","$5,710,132",,,,"$7,552,632",.96,4,4,"16,104",,497,,"16,104","16,602",,306,,"16,602",AL0057428,Individual Permit,CITY OF HUNTSVILLE,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
HUNTSVILLE ALDRIDGE CREEK WWTP,01000085003,"$3,112,304",,"$17,125,000","$4,458,793",,,,"$24,696,097",6,8.4,8.4,"32,208",,997,,"32,208","33,204",,735,,"33,204",AL0056855,Individual Permit,"HUNTSVILLE, CITY OF",Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
HUNTSVILLE WESTERN AREA WWTP,01000085005,,,"$2,295,000","$12,500,000",,,,"$14,795,000",8.11,15,15,"56,364",,"1,742",,"56,364","58,107",,"1,103",,"58,107",AL0049531,Individual Permit,CITY OF HUNTSVILLE,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
HUNTSVILLE BIG COVE WWTP,01000085007,"$10,000,000",,"$2,295,000",,,,,"$12,295,000",1.1,2.19,2.19,"11,000",,"15,822",,"11,000","22,000",,"1,225",,"22,000",AL0055042,Individual Permit,"HUNTSVILLE, CITY OF",Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
HURTSBORO HCR LAGOON,01000086001,,,"$1,107,006","$332,102",,,,"$1,439,108",.05,.26,.26,444,,147,,444,592,,120,,592,AL0020699,Individual Permit,TOWN OF HURTSBORO WATER AND SEWER BOARD,Russell,Middle Chattahooche,03130003,3rd Congressional District,AL,4,MAP
Irondale WWTP,01000086101,"$3,761,916","$1,880,958",,"$5,642,874",,,,"$11,285,748",.04,.07,1,500,,,,500,"12,000",,,,"12,000",AL0078395,Individual Permit,Irondale WWTP,Jefferson,Upper Black Warrior,03160112,6th Congressional District,AL,4,MAP
JASPER WWTP,01000088001,"$399,704","$6,395,257","$5,018,364","$10,627,412",,,,"$22,440,737",2.8,4.8,4.8,"12,008",,"5,296",,"12,008","21,384",,"4,263",,"21,384",AL0023418,Individual Permit,JASPER WATER WORKS & SEWER BOARD,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
Jeff Road WWTP,01000088200,,"$7,751,136",,"$1,739,037",,,,"$9,490,173",.05,.5,1,600,,,,600,"2,700",,,,"2,700",,,Harvest-Monrovia Water & Fire Protection Authority,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
JEMISON WWTP,01000089001,,"$1,125,487",,"$2,250,974",,,,"$3,376,461",.05,.15,.15,101,,"2,146",,101,"2,248",,"1,925",,"2,248",AL0059331,Individual Permit,"JEMISON, TOWN OF",Chilton,Cahaba,03150202,6th Congressional District,AL,4,MAP
Killen WWTP,01000091001,"$4,702,395","$940,479",,"$5,642,874",,,,"$11,285,748",,,1,,,,,,"5,000",,,,"5,000",,,Killen WWTP,Lauderdale,Bear,06030006,5th Congressional District,AL,4,MAP
LA FAYETTE MILL CREEK WWTP,01000093001,,,"$2,799,866","$143,654",,,,"$2,943,520",.34,1,1,"3,072",,161,,"3,072","3,234",,25,,"3,234",AL0062839,Individual Permit,CITY OF LAFAYETTE,Chambers,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
LANETT WWTP,01000094001,,"$3,056,557","$822,919","$686,550",,,,"$4,566,026",1.92,2.6,2.6,"6,492",,"1,406",,"6,492","7,897",,62,,"7,897",AL0023159,Individual Permit,"LANETT, CITY OF",Chambers,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,AL,4,MAP
LINEVILLE LAGOON,01000098001,"$588,788",,"$2,146,469","$411,407",,,,"$3,146,664",.15,.5,.5,"1,681",,744,,"1,681","1,881",,620,,"1,881",AL0050644,Individual Permit,LINEVILLE WATERWORKS & SEWER BOARD,Clay,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
LOCKHART SEWER COLLECTION  SYSTEM,01000100001,"$188,096","$752,383","$4,890,491","$2,351,197",,,,"$8,182,167",.33,.35,.35,"3,000",,5,,"3,000","3,000",,2,,"3,000",AL0031925,Individual Permit,"LOCKHART, TOWN OF",Covington,Yellow,03140103,2nd Congressional District,AL,4,MAP
LOXLEY LAGOON,01000101001,,,"$4,189,037","$4,145,083",,,,"$8,334,120",.235,.25,.25,"1,146",,203,,"1,146","1,348",,203,,"1,348",AL0060283,Individual Permit,TOWN OF LOXLEY,Baldwin,Mobile Bay,03160205,1st Congressional District,AL,4,MAP
MADISON WWTP,01000102001,"$28,977,325",,"$6,507,882","$15,437,421",,,,"$50,922,628",5,8.25,12,"41,210",,,,"41,210","67,127",,,,"67,127",AL0071897,Individual Permit,WATER AND WASTEWATER BOARD OF THE CITY OF MADISON,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
MARGARET WWTP,01000103001,"$1,880,958","$1,880,958","$470,240","$2,116,078",,,,"$6,348,234",.017,.5,1,"2,000",,,,"2,000","11,000",,,,"11,000",AL0078204,Individual Permit,Margaret WWTP,St. Clair,Cahaba,03150202,4th Congressional District,AL,4,MAP
MARION WWTP,01000104004,,,,,,,,,.578,.5,.5,"3,006",,505,,"3,006","3,511",,458,,"3,511",AL0023809,Individual Permit,"MARION, CITY OF",Perry,Cahaba,03150202,7th Congressional District,AL,4,MAP
MOBILE WILLIAMS WWTP,01000108001,,"$16,904,974","$112,653,638","$21,505,344",,,,"$151,063,956",20.471,29,29,"125,030",,"3,868",,"125,030","128,897",,"3,868",,"128,897",AL0023086,Individual Permit,"MOBILE, BOARD OF WATER AND SEWER COMMISSIONERS",Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
MOBILE SMITH WWTP,01000108002,"$1,153,150",,"$1,672,551",,,,,"$2,825,701",10.116,12.8,12.8,"57,112",,"1,767",,"57,112","58,879",,"1,767",,"58,879",AL0023094,Individual Permit,MOBILE BOARD OF WATER AND SEWER COMMISSIONERS,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
MONTEVALLO WWTP,01000109001,,,,"$2,036,174",,,,"$2,036,174",.52,.85,.85,"4,067",,759,,"4,067","4,825",,759,,"4,825",AL0023299,Individual Permit,"MONTEVALLO, TOWN OF",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
MONTGOMERY CATOMA CREEK WWTP,01000110001,,,,,,,,,20.005,35,35,"115,833",,"3,092",,"115,833","118,925",,"3,092",,"118,925",AL0027863,Individual Permit,MONTGOMERY WW & SAN SWR BD,Montgomery,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
MONTGOMERY ENCONCHATE WWTP,01000110002,,,,"$1,264,704",,,,"$1,264,704",10.591,21,21,"70,678",,"1,887",,"70,678","72,564",,"1,887",,"72,564",AL0022225,Individual Permit,MONTGOMERY WW&SAN SWR BD,Montgomery,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
MONTGOMERY TOWASSA WWTP,01000110003,,,,,,,,,2.121,3,3,"9,816",,263,,"9,816","10,079",,263,,"10,079",AL0022241,Individual Permit,MONTGOMERY WW & SAN SWR BD,Montgomery,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
 KELLY CREEK WWTP,01000111002,"$4,702,395","$4,232,155","$940,479","$7,523,831",,,,"$17,398,860",.26,.5,1,"1,200",,"6,854",,"1,200","8,053",,"6,500",,"8,053",AL0061581,Individual Permit,KELLY WWTP,St. Clair,Middle Coosa,03150106,6th Congressional District,AL,4,MAP
MOULTON WWTP,01000114001,"$1,213,049","$7,500,000","$2,910,195","$468,134",,,,"$12,091,378",1.01,1.25,1.25,"2,331",,,,"2,331","3,260",,,,"3,260",AL0020672,Individual Permit,"MOULTON, TOWN OF",Lawrence,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
MOUNDVILLE LAGOON,01000115001,,,"$2,907,204","$1,956,942",,,,"$4,864,146",.09,.21,.21,"1,356",,452,,"1,356","1,809",,452,,"1,809",AL0058122,Individual Permit,Town of Moundville,Hale,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
NEW HOPE HCR LAGOON,01000121001,"$900,000","$2,490,764","$9,215,825",,,,,"$12,606,589",.4,.25,.5,"2,285",,255,,"2,285","2,539",,98,,"2,539",AL0023761,Individual Permit,TOWN OF NEW HOPE WATER SYSTEM,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
NORTHPORT WWTP,01000123001,"$423,215",,"$3,204,447","$1,163,843",,,,"$4,791,505",2.41,5,5,"16,500",,"2,935",,"16,500","19,435",,121,,"19,435",AL0064394,Individual Permit,"NORTHPORT,CITY OF",Tuscaloosa,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
OAKMAN LAGOON (HCR),01000124001,,"$198,896","$426,875","$683,001",,,,"$1,308,772",.15,.11,.11,897,,47,,897,944,,25,,944,AL0025348,Individual Permit,OAKMAN WATER WORKS,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
ODENVILLE WWTP,01000125001,,,,,,,,,.06,.08,.08,566,,564,,566,"1,131",,486,,"1,131",AL0070084,Individual Permit,"ODENVILLE, TOWN OF",St. Clair,Middle Coosa,03150106,6th Congressional District,AL,4,MAP
OPELIKA EASTSIDE WWTP,01000127002,,"$13,676,284",,,,,,"$13,676,284",.57,5,11,"23,804",,,,"23,804","25,500",,,,"25,500",AL0059218,Individual Permit,OPELIKA WATER WORKS BOARD,Lee,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,AL,4,MAP
OPELIKA WESTSIDE WWTP,01000127005,,"$8,943,619","$3,856,936",,,,,"$12,800,555",2.75,4,4,"17,795",,,,"17,795","17,698",,,,"17,698",AL0050130,Individual Permit,"OPELIKA, CITY OF",Lee,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
OPP WESTSIDE WWTP,01000128002,"$99,374","$496,868","$2,484,339",,,,,"$3,080,581",.837,1.2,1.2,"6,000",,299,,"6,000","6,200",,225,,"6,200",AL0054313,Individual Permit,UTILITY BOARD CITY OF OPP,Covington,Yellow,03140103,2nd Congressional District,AL,4,MAP
OPP EASTSIDE WWTP,01000128003,"$3,279,327","$1,987,471","$3,822,145",,,,,"$9,088,943",.149,.4,.4,"1,022",,102,,"1,022","1,123",,59,,"1,123",AL0021407,Individual Permit,UTILITY BOARD CITY OF OPP,Covington,Pea,03140202,2nd Congressional District,AL,4,MAP
OWENS CROSSROADS WWTP,01000129001,,,,,,,,,.09,.075,.075,270,,686,,270,350,,123,,350,AL0053228,Individual Permit,"OWENS CROSSROADS, TOWN OF",Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
OXFORD TULL C ALLEN WWTP,01000130001,,,,"$2,017,382",,,,"$2,017,382",2.95,4.9,4.9,"7,442",,242,,"7,442","8,500",,363,,"8,500",AL0058408,Individual Permit,"OXFORD, WW & SB CITY OF",Calhoun,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
OZARK NORTHEAST LAGOON,01000131002,,"$146,005",,"$1,329,530",,,,"$1,475,535",.26,.5,.5,"12,548",,,,"12,548","15,119",,,,"15,119",AL0058688,Individual Permit,OZARK UTILITIES BOARD,Dale,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
OZARK SOUTHSIDE WWTP,01000131005,,,"$2,007,568","$5,689,768",,,,"$7,697,336",1.46,2.1,2.1,"12,548",,,,"12,548","15,119",,,,"15,119",AL0056324,Individual Permit,OZARK UTILITIES BD,Dale,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
PARRISH HCR LAGOON,01000132001,"$89,594",,"$111,716","$307,495",,,,"$508,805",.04,.147,.147,"1,014",,253,,"1,014","1,268",,221,,"1,268",AL0061158,Individual Permit,WATER WORKS BOARD OF PARRISH,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
PHIL CAMPBELL WWTP,01000135001,,,,,,,,,.24,.25,.25,"1,117",,166,,"1,117","1,250",,60,,"1,250",AL0056812,Individual Permit,"PHIL CAMPBELL, TOWN OF, WATER AND SEWER BOARD",Franklin,Bear,06030006,4th Congressional District,AL,4,MAP
PRATTVILLE AUTAUGA CREEK WWTP,01000139001,,"$656,732",,,,,,"$656,732",2.8,4,4,"12,989",,889,,"12,989","13,877",,753,,"13,877",AL0026654,Individual Permit,CITY OF PRATTVILLE,Autauga,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
PRATTVILLE PINE CREEK WWTP,01000139003,"$1,049,852",,,"$1,263,709",,,,"$2,313,561",1.6,3,3,"9,758",,668,,"9,758","10,426",,596,,"10,426",AL0027723,Individual Permit,"PRATTVILLE, CITY OF",Elmore,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
PRICHARD CARLO A MORRIS WWTP,01000140001,"$10,500,000","$7,749,042","$1,076,752","$9,684,782",,,,"$29,010,576",2.14,4,4,"17,265",,"3,636",,"17,265","20,902",,"3,636",,"20,902",AL0023205,Individual Permit,PRICHARD WW & SB,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
PRICHARD STANLEY BROOKS WWTP,01000140002,"$11,607,006",,"$476,752","$50,084,782",,,,"$62,168,540",.74,1.5,1.5,"6,386",,"1,344",,"6,386","7,731",,"1,344",,"7,731",AL0055204,Individual Permit,PRICHARD WW & SB,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
RAINBOW CITY LAGOON,01000141001,,"$8,919,769","$5,946,513","$1,742,515",,,,"$16,608,797",1.2,.741,3,"5,300",,"3,311",,"5,300","8,428",,"3,050",,"8,428",AL0056839,Individual Permit,"RAINBOW CITY ,WATERGAS &",Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
REFORM WWTP,01000143001,,"$250,387","$1,348,788","$1,191,825",,,,"$2,791,000",.39,.49,.49,"1,537",,440,,"1,537","1,978",,440,,"1,978",AL0020915,Individual Permit,"REFORM, CITY OF",Pickens,Middle Tombigbee-Lubbub,03160106,7th Congressional District,AL,4,MAP
ROANOKE HCR LAGOON,01000145002,,,,,,,,,.591,1.3,1.3,"9,133","5,400",252,,"14,533","11,861","6,000",126,,"17,861",AL0062715,Individual Permit,ROANOKE UTILITIES BOARD,Randolph,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
ROANOKE FINCHER LAGOON,01000145003,,,,,,,,,.288,.45,.45,"1,800",,983,,"1,800","2,000",,126,,"2,000",AL0062715,Individual Permit,ROANOKE UTILITIES BOARD,Randolph,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
ROBERTSDALE WWTP,01000146001,"$558,977","$576,432","$2,464,757","$2,829,418",,,,"$6,429,584",.78,.94,.94,"3,185",,598,,"3,185","3,782",,598,,"3,782",AL0042838,Individual Permit,"ROBERTSDALE, TOWN OF",Baldwin,Perdido,03140106,1st Congressional District,AL,4,MAP
ROCKFORD WWTP,01000147001,"$372,651",,,,,,,"$372,651",.01,.036,.036,210,,186,,210,210,,186,,210,AL0062278,Individual Permit,"ROCKFORD, WATER BOARD OF",Coosa,Lower Coosa,03150107,3rd Congressional District,AL,4,MAP
SAMSON LAGOON,01000149001,,"$2,186,218","$526,680",,,,,"$2,712,898",.18,.5,.5,"1,887",,,,"1,887","1,887",,,,"1,887",AL0068896,Individual Permit,SAMSON CITY OF,Geneva,Pea,03140202,2nd Congressional District,AL,4,MAP
SARALAND WWTP,01000150001,"$13,069,306","$1,696,017","$4,289,924","$2,668,732",,,,"$21,723,979",1.78,2.6,2.6,"9,624",,"2,743",,"9,624","12,368",,"2,743",,"12,368",AL0055786,Individual Permit,CITY OF SARALAND,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
SATSUMA WWTP,01000152001,,"$1,117,952","$29,812","$1,006,157",,,,"$2,153,921",.557,.75,.75,575,,"5,113",,575,"5,687",,"13,342",,"5,687",AL0063002,Individual Permit,SATSUMA WATER WORKS BOARD,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
SELMA VALLEY CREEK WWTP,01000153001,,,"$1,379,479","$681,185",,,,"$2,060,664",3.57,6,6,"20,101",,411,,"20,101","20,512",,334,,"20,512",AL0022578,Individual Permit,"SELMA, WW & SB",Dallas,Upper Alabama,03150201,7th Congressional District,AL,4,MAP
SHEFFIELD WWTP,01000154001,"$9,660,102",,"$6,194,947",,,,,"$15,855,049",1.39,3.9,3.9,"9,468",,184,,"9,468","9,652",,136,,"9,652",AL0050121,Individual Permit,"SHEFFIELD, CITY OF",Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
SOUTHSIDE LAGOON,01000158001,"$2,400,000","$1,500,000","$2,300,000","$3,313,000",,,,"$9,513,000",.14,.26,.26,587,,"6,529",,587,"2,000",,"5,124",,"2,000",AL0055867,Individual Permit,"SOUTHSIDE, CITY OF",Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
SPRINGVILLE HCR LAGOON,01000160001,,,,,,,,,.21,.44,.44,"1,291",,"1,230",,"1,291","2,521",,"1,092",,"2,521",AL0050903,Individual Permit,"SPRINGVILLE, TOWN OF",St. Clair,Middle Coosa,03150106,6th Congressional District,AL,4,MAP
STEELE LAGOON,01000161001,,,"$280,000","$3,812,480",,,,"$4,092,480",.06,.1,.1,547,,546,,547,"1,093",,195,,"1,093",AL0072729,Individual Permit,"STEELE, TOWN OF",St. Clair,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
STEVENSON WWTP,01000162001,"$251,250",,"$3,560,850","$1,033,463",,,,"$4,845,563",.56,.75,.75,"1,976",,385,,"1,976","2,176",,185,,"2,176",AL0021351,Individual Permit,STEVENSON UTILITIES BOARD,Jackson,Guntersville Lake,06030001,5th Congressional District,AL,4,MAP
SUMMERDALE WWTP,01000164001,,,,,,,,,.08,.08,.08,328,,328,,328,655,,275,,655,AL0070050,Individual Permit,"SUMMERDALE, TOWN OF",Baldwin,Perdido,03140106,1st Congressional District,AL,4,MAP
SYLACAUGA FAIRMONT WWTP,01000165003,"$545,478","$752,383","$2,163,102",,,,,"$3,460,963",.05,.22,.22,800,,150,,800,930,,200,,930,AL0020010,Individual Permit,SYLACAUGA UTILITIES BOARD,Talladega,Lower Coosa,03150107,3rd Congressional District,AL,4,MAP
TALLADEGA BRECON WWTP,01000168001,"$1,300,000","$31,043","$5,609,232",,,,,"$6,940,275",.42,.5,.5,979,,188,,979,"1,166",,125,,"1,166",AL0022349,Individual Permit,"TALLADEGA, CITY OF, W&SB",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
TALLADEGA MAIN WWTP,01000168003,"$5,250,000","$1,352,583","$18,126,057","$14,656,250",,,,"$39,384,890",3.25,4.5,4.5,"8,802",,"1,668",,"8,802","9,800",,625,,"9,800",AL0022357,Individual Permit,"TALLADEGA, CITY OF, W&SB",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
TALLADEGA NIKI-LU WWTP,01000168004,,,,,,,,,.1,1,,"1,500",,,,"1,500",,,,,,AL0059579,Individual Permit,"TALLADEGA, CITY OF, W&SB",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
TALLADEGA AIRPORT IND. WWTP,01000168005,"$1,750,000","$23,282","$6,925,560",,,,,"$8,698,842",.14,.5,.5,980,,185,,980,"1,116",,125,,"1,116",AL0054658,Individual Permit,"TALLADEGA, CITY OF, W&SB",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
TALLASSEE LAGOON,01000169001,,,"$783,064",,,,,"$783,064",.5,1.4,1.4,"3,888",,"1,045",,"3,888","4,934",,851,,"4,934",AL0020486,Individual Permit,"TALLASSEE, CITY OF",Elmore,Lower Tallapoosa,03150110,2nd Congressional District,AL,4,MAP
TROY WALNUT CREEK WWTP,01000174001,"$2,351,197",,"$22,101,256",,,,,"$24,452,453",3.39,5,5,"12,500",,"1,999",,"12,500","20,000",,"1,999",,"20,000",AL0032310,Individual Permit,CITY OF TROY UTILITY DEPARTMENT,Pike,Pea,03140202,2nd Congressional District,AL,4,MAP
TUSCALOOSA WWTP,01000176001,"$71,550,970",,"$77,227,100","$40,921,600",,,,"$189,699,670",15.271,24,24,"88,000",,,,"88,000","100,000",,,,"100,000",AL0022713,Individual Permit,"City of Tuscaloosa, Water & Sewer Departments",Tuscaloosa,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
TUSCUMBIA WWTP,01000177001,"$5,827,280",,,"$242,424",,,,"$6,069,704",1.44,1.62,2.5,"7,299",,557,,"7,299","7,856",,484,,"7,856",AL0057100,Individual Permit,TUSCUMBIA WWTP,Colbert,Pickwick Lake,06030005,5th Congressional District,AL,4,MAP
TUSKEGEE SOUTH WWTP,01000178006,,"$2,677,544","$677,145","$9,708,564",,,,"$13,063,253",.96,1.25,1.25,"4,600",,888,,"4,600","4,600",,793,,"4,600",AL0025984,Individual Permit,CITY OF TUSKEGEE UTILITIES BOARD,Macon,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
TUSKEGEE NORTH WWTP,01000178007,,"$2,677,544","$634,823","$9,708,564",,,,"$13,020,931",1.44,2,2,"6,900",,"1,393",,"6,900","6,900",,"1,269",,"6,900",AL0048763,Individual Permit,TUSKEGEE CITY OF UTIL BOARD,Macon,Lower Tallapoosa,03150110,3rd Congressional District,AL,4,MAP
WEDOWEE LAGOON,01000186001,,,,,,,,,.121,.15,.15,738,,81,,738,818,,63,,818,AL0024171,Individual Permit,"WEDOWEE, TOWN OF",Randolph,Upper Tallapoosa,03150108,3rd Congressional District,AL,4,MAP
WETUMPKA WWTP,01000188003,,,"$3,540,481","$4,125,394",,,,"$7,665,875",1,4.5,4.5,"5,291",,436,,"5,291","5,726",,266,,"5,726",AL0064025,Individual Permit,"WETUMPKA, CITY OF, WW&SB",Elmore,Lower Coosa,03150107,2nd Congressional District,AL,4,MAP
WILSONVILLE WWTP,01000190001,,,,,,,,,.03,.04,.04,268,,"1,282",,268,"1,551",,"1,101",,"1,551",AL0021491,Individual Permit,"WILSONVILLE, TOWN OF",Shelby,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
WINFIELD WWTP,01000192001,,,,"$531,310",,,,"$531,310",.273,1,1,"2,728",,"1,812",,"2,728","4,540",,"1,649",,"4,540",AL0023400,Individual Permit,"WINFIELD, TOWN OF, WW&SB",Marion,Luxapallila,03160105,4th Congressional District,AL,4,MAP
PHENIX CITY WWTP,01000196001,"$28,937,800","$33,759,500","$33,334,500","$10,579,750",,,,"$106,611,550",2.87,7.75,7.75,"27,473",,792,,"27,473","40,000",,125,,"40,000",AL0022209,Individual Permit,PHENIX CITY DEPT OF PUBLIC UTILITIES,Russell,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,AL,4,MAP
JEFFERSON COUNTY CAHABA RIVER WWTP,01000197004,"$13,166,705","$159,600,000","$32,700,453","$327,114,499",,,,"$532,581,657",7.46,12,12,"43,748",,"2,595",,"43,748","46,343",,"2,450",,"46,343",AL0023027,Individual Permit,Jefferson County Environmental Services Department,Jefferson,Cahaba,03150202,6th Congressional District,AL,4,MAP
JEFFERSON COUNTY TURKEY CREEK WWTP,01000197007,,,"$50,877,629",,,,,"$50,877,629",3.37,4,4,"12,499",,742,,"12,499","13,241",,742,,"13,241",AL0022926,Individual Permit,JEFFERSON CO. COMMISSION,Jefferson,Locust,03160111,6th Congressional District,AL,4,MAP
TRUSSVILLE WWTP,01000197011,"$6,212,476",,"$19,338,599",,,,,"$25,551,075",2.1,4,4,"12,499",,742,,"12,499","13,241",,742,,"13,241",AL0022934,Individual Permit,JEFFERSON COUNTY COMMISSION,Jefferson,Cahaba,03150202,6th Congressional District,AL,4,MAP
JEFFERSON COUNTY WARRIOR WWTP,01000197023,,"$1,809,459","$1,485,897",,,,,"$3,295,356",.07,.1,.1,375,,22,,375,397,,22,,397,AL0050881,Individual Permit,Jefferson County Environmental Services Department,Jefferson,Locust,03160111,6th Congressional District,AL,4,MAP
PELHAM WWTP,01000198001,"$14,000,000","$25,000,000","$1,550,002","$1,350,001",,,,"$41,900,003",2.5,4,6,"15,000",,,,"15,000","22,500",,,,"22,500",AL0054666,Individual Permit,"PELHAM, CITY OF",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
EAST ALABAMA WWTP,01000201001,,,,,,,,,2.951,4,4,"6,374",,"2,825",,"6,374","9,198",,"2,592",,"9,198",AL0024724,Individual Permit,East Alabama Water Sewer Authority,Chambers,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,AL,4,MAP
DAUPHIN ISLAND WWTP,01000203001,,"$2,924,096","$1,298,000","$194,940",,,,"$4,417,036",.52,.49,1,"1,266",,104,,"1,266","1,371",,78,,"1,371",AL0050547,Individual Permit,DAUPHIN ISLAND Ws&FPA,Mobile,Mississippi Coastal,03170009,1st Congressional District,AL,4,MAP
ALBERTVILLE EASTSIDE WWTP,01000205001,,"$4,866,831","$4,588,292",,,,,"$9,455,123",6.04,11.5,11.5,"14,366",,"2,880",,"14,366","17,247",,"2,500",,"17,247",AL0020192,Individual Permit,"ALBERTVILLE, CITY OF",Marshall,Guntersville Lake,06030001,4th Congressional District,AL,4,MAP
ALICEVILLE EAST LAGOON,01000207001,"$372,651",,"$3,577,448",,,,,"$3,950,099",.15,.15,.15,"2,335",,500,,"2,335","2,567",,500,,"2,567",AL0020770,Individual Permit,Aliceville Wate and Sewer Board,Pickens,Middle Tombigbee-Lubbub,03160106,7th Congressional District,AL,4,MAP
ALICEVILLE WEST LAGOON,01000207002,"$745,301",,"$3,353,857","$745,301",,,,"$4,844,459",.33,.381,.53,"2,335",,500,,"2,335","2,567",,500,,"2,567",AL0056332,Individual Permit,Aliceville Water & Sewer Board,Pickens,Middle Tombigbee-Lubbub,03160106,7th Congressional District,AL,4,MAP
