Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
FORT PIERCE WWTP,12000173001,,,,,,,,,,,,,,,,,,,,5.5,9.5,9.5,"37,750",,,,"37,750",0,37750,"44,500",,,,"44,500",0,44500,FL0027278,Individual Permit,Fort Pierce Utility Authority,St. Lucie,Vero Beach,03080203,18th Congressional District,FL,4,MAP
N Hutchinson Island WWTF,12000173004,,,"$3,191,327",,,,"$285,790",,,,,,,,,,"$3,477,117",,,.35,.5,1.35,"3,250",,,,"3,250",0,3250,"5,000",,,,"5,000",0,5000,,,St. Lucie County,St. Lucie,Everglades,03090202,18th Congressional District,FL,4,MAP
Mainland N County WWTF,12000173005,,,"$22,691,764",,,,,,,,,,,,,,"$22,691,764",,,.14,.21,1.5,"1,400",,,,"1,400",0,1400,"12,500",,,,"12,500",0,12500,,,St. Lucie County,St. Lucie,Everglades,03090202,18th Congressional District,FL,4,MAP
SARASOTA WWTP,12000174001,,,"$3,979,243",,"$39,090,208",,,,,,,,"$2,340,731",,,,"$45,410,182",,,7.25,10.2,10.2,"55,750",,,,"55,750",0,55750,"67,500",,,,"67,500",0,67500,FL0040771,Individual Permit,Sarasota,Sarasota,Sarasota Bay,03100201,16th Congressional District,FL,4,MAP
VENICE EAST SIDE WWTP,12000175002,,,"$4,693,500",,"$14,525,573",,,,,,,,"$64,738",,,,"$19,283,811",,,2,3,3,"17,500",,,,"17,500",0,17500,"25,750",,,,"25,750",0,25750,FL0041441,Individual Permit,"VENICE, CITY OF",Sarasota,Sarasota Bay,03100201,16th Congressional District,FL,4,MAP
Sarasota County Consolidated WWTF,12000177002,,,,,"$14,328,618",,"$159,865,130",,,,,,"$642,029",,,,"$174,835,777",,,9.4,15.5,15.5,"70,000",,,,"70,000",0,70000,"125,500",,,,"125,500",0,125500,,,Sarasota County,Sarasota,Sarasota Bay,03100201,16th Congressional District,FL,4,MAP
BUSHNELL WWTP,12000178001,,,"$3,728,472",,"$3,824",,"$2,405,343",,,,,,,,,,"$6,137,639",,,.175,.5,1,"1,150","1,100",,,"2,250",0,2250,"2,375","1,250",,,"3,625",0,3625,,,Bushnell,Sumter,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
LIVE OAK STP,12000181001,,,,,"$3,008,058",,,,,,,,,,,,"$3,008,058",,,1.25,3,3,"7,456",,,,"7,456",0,7456,"7,500",,,,"7,500",0,7500,,,"LIVE OAK, CITY OF",Suwannee,Econfina-Steinhatchee,03110102,3rd Congressional District,FL,4,MAP
VCUD Southeast Regional STP,12000182005,,,,,,,,,,,,,,,,,,,,.6,1.2,1.2,"4,890",,,,"4,890",0,4890,"7,500",,,,"7,500",0,7500,,,VOLUSIA COUNTY,Volusia,Upper St. Johns,03080101,6th Congressional District,FL,4,MAP
ORMOND BEACH STP,12000183001,,,"$621,484",,"$1,408,050",,"$11,758,674",,,,,,"$2,490,792",,,,"$16,279,000",,,4.2,8,8,"40,000",,,,"40,000",0,40000,"42,100",,,,"42,100",0,42100,FL0020532,Individual Permit,Ormond Beach,Volusia,Upper St. Johns,03080101,6th Congressional District,FL,4,MAP
Edgewater WWTF,12000185003,,,,,,,,,,,,,,,,,,,,2.25,2.75,2.75,"18,750",,,,"18,750",0,18750,"22,750",,,,"22,750",0,22750,FL0021431,Individual Permit,Edgewater,Volusia,Cape Canaveral,03080202,6th Congressional District,FL,4,MAP
HOLLY HILL STP,12000187001,,,,,,,,,,,,,,,,,,,,1.5,2.4,2.4,"11,700",,,,"11,700",0,11700,"10,800",,,,"10,800",0,10800,FL0027677,Individual Permit,Holly Hill,Volusia,Upper St. Johns,03080101,6th Congressional District,FL,4,MAP
VCUD Southwest Regional STP,12000187003,,,,,,,,,,,,,,,,,,,,1.2,2.2,2.2,"9,230",,,,"9,230",0,9230,"17,500",,,,"17,500",0,17500,,,Volusia County Utilities,Volusia,Upper St. Johns,03080101,7th Congressional District,FL,4,MAP
VCUD Pine Island WWTF,12000187004,,,,,,,,,,,,,,,,,,,,.01,.015,.015,75,,,,75,0,75,125,,,,125,0,125,,,Volusia County,Volusia,Upper St. Johns,03080101,6th Congressional District,FL,4,MAP
VCUD Halifax Plantation WWTF,12000187005,,,,,,,,,,,,,,,,,,,,.1,.2,.2,833,,,,833,0,833,"1,650",,,,"1,650",0,1650,,,Volusia County Utilities,Volusia,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
NEW SMYRNA BEACH STP,12000190001,,,"$27,238,764",,"$9,950,487",,"$1,948,852",,,,,,"$588,419",,,,"$39,726,522",,,4.9,7,10.5,"22,400",,,,"22,400",0,22400,"28,300",,,,"28,300",0,28300,FL0172090,Individual Permit,New Smyrna Beach,Volusia,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
DELAND REGIONAL WWTP,12000192001,,,"$166,748,177",,"$1,483,313",,"$1,780,628",,,,,,"$1,499,678",,,,"$171,511,796",,,4.5,6,8,"36,371",,,,"36,371",0,36371,"56,750",,,,"56,750",0,56750,FL0020303,Individual Permit,"DELAND, CITY OF",Volusia,Upper St. Johns,03080101,6th Congressional District,FL,4,MAP
Daytona Beach Westside Regional STP,12000193001,,,,,"$9,258,219",,,,,,,,"$1,143,377",,,,"$10,401,596",,,12,15,15,"50,000","17,590",,,"67,590",0,67590,"75,000","20,000",,,"95,000",0,95000,,,"DAYTONA BEACH, CITY OF",Volusia,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
VCUD Deltona North RWRF,12000193002,,,,,,,,,,,,,,,,,,,,.8,1.2,1.2,"7,750",,,,"7,750",0,7750,"10,000",,,,"10,000",0,10000,,,VOLUSIA COUNTY,Volusia,Daytona - St. Augustine,03080201,7th Congressional District,FL,4,MAP
BETHUNE POINT WWTP,12000193003,,,,,,,,,,,,,,,,,,,,8.46,13,13,"33,700",,,,"33,700",0,33700,"31,700",,,,"31,700",0,31700,FL0025984,Individual Permit,City of Daytona Beach,Volusia,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
Deltona Lakes STP,12000193005,,,,,,,,,,,,,,,,,,,,1.2,1.4,1.4,"10,750",,,,"10,750",0,10750,"12,750",,,,"12,750",0,12750,,,Florida Water Services Corporation,Volusia,Upper St. Johns,03080101,7th Congressional District,FL,4,MAP
MACCLENNY STP,12000195001,,,"$28,013,396",,"$5,626,356",,,,,,,,,,,,"$33,639,752",,,.57,1.3,1.3,"5,662",,,,"5,662",0,5662,"7,500",,,,"7,500",0,7500,FL0040495,Individual Permit,MACCLENNY,Baker,St. Marys,03070204,4th Congressional District,FL,4,MAP
LYNN HAVEN STP,12000197001,,,,,,,,,,,,,,,,,,,,1.65,2.5,2.5,"14,775",,,,"14,775",0,14775,"16,000",,,,"16,000",0,16000,FL0169978,Individual Permit,Lynn Haven,Bay,St. Andrew-St. Joseph Bays,03140101,2nd Congressional District,FL,4,MAP
Panama City Beach STP,12000199001,,,,,"$884,887",,,,,,,,"$160,226",,,,"$1,045,113",,,6,10,10,"13,500",,,,"13,500",0,13500,"17,500",,,,"17,500",0,17500,FL0021512,Individual Permit,Panama City Beach,Bay,St. Andrew-St. Joseph Bays,03140101,2nd Congressional District,FL,4,MAP
North Bay WWTP,12000200001,,,,,,,,,,,,,,,,,,,,1.1,1.5,1.5,"11,000",,,,"11,000",0,11000,"12,500",,,,"12,500",0,12500,,,Bay County,Bay,St. Andrew-St. Joseph Bays,03140101,2nd Congressional District,FL,4,MAP
STARKE MUN STP,12000208001,,,"$35,553,431",,,,,,,,,,,,,,"$35,553,431",,,.8,1.65,1.65,"6,000",,,,"6,000",0,6000,"11,500",,,,"11,500",0,11500,FL0028126,Individual Permit,"STARKE, CITY OF",Bradford,Santa Fe,03110206,3rd Congressional District,FL,4,MAP
CRYSTAL RIVER WWF,12000211001,,,"$5,082,778",,"$2,405,479",,,,,,,,,,,,"$7,488,257",,,.71,1.5,1.5,"6,500",,,,"6,500",0,6500,"9,750",,,,"9,750",0,9750,,,Crystal River,Citrus,Crystal-Pithlachascotee,03100207,11th Congressional District,FL,4,MAP
INVERNESS REG WWTP,12000212002,,,"$14,566",,"$1,658,101",,,,,,,,"$267,044",,,,"$1,939,711",,,.59,1.5,1.5,"7,179",,,,"7,179",0,7179,"10,500",,,,"10,500",0,10500,,,Inverness,Citrus,Withlacoochee,03100208,11th Congressional District,FL,4,MAP
Keystone Heights WWTP,12000213001,,,,,,,,,,,,,,,,,,,,.1,.2,.2,700,,,,700,0,700,"1,000",,,,"1,000",0,1000,,,Keystone Heights,Clay,Santa Fe,03110206,3rd Congressional District,FL,4,MAP
Ash Street STP,12000214001,,,"$53,926,490",,"$911,214",,"$131,766",,,,,,,,,,"$54,969,470",,,1.02,2.5,2.5,"8,400",,,,"8,400",0,8400,"10,000",,,,"10,000",0,10000,FL0023922,Individual Permit,Orange Park,Clay,Lower St. Johns,03080103,3rd Congressional District,FL,4,MAP
EVERGLADES CITY WWTP,12000216001,,,"$317,253",,,,"$1,290,274",,,,,,,,,,"$1,607,527",,,.09,.115,.115,750,,,,750,0,750,975,,,,975,0,975,FL0027618,Individual Permit,EVERGLADES CITY,Collier,Big Cypress Swamp,03090204,25th Congressional District,FL,4,MAP
CROSS CITY STP #1 & #2,12000219001,,,"$8,618,693",,,,,,,,,,,,,,"$8,618,693",,,.25,.4,.4,"1,975",,,,"1,975",0,1975,"2,500",,,,"2,500",0,2500,FL0027791,Individual Permit,Cross City,Dixie,Econfina-Steinhatchee,03110102,3rd Congressional District,FL,4,MAP
SUWANNEE STP,12000219004,,,,,,,,,,,,,,,,,,,,.19,.25,.25,"1,550",,,,"1,550",0,1550,"2,075",,,,"2,075",0,2075,,,Suwannee Water & Sewer District,Dixie,Lower Suwannee,03110205,3rd Congressional District,FL,4,MAP
Big Bend Water Authority,12000219006,,,"$1,457,150",,,,"$2,915,964",,,,,,,,,,"$4,373,114",,,.024,.024,.09,250,,,,250,0,250,800,,,,800,0,800,,,Big Bend Water Authority,Dixie,Econfina-Steinhatchee,03110102,2nd Congressional District,FL,4,MAP
FLAGLER BEACH WWTP,12000222001,,,,,,,,,,,,,,,,,,,,.79,1,1,"5,615",,,,"5,615",0,5615,"7,551",,,,"7,551",0,7551,FL0026611,Individual Permit,Flagler Beach,Flagler,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
Palm Coast WWTP #1,12000222013,,,"$6,348,364",,"$4,134,326",,"$788,994",,,,,,"$2,233,459",,,,"$13,505,143",,,6,9.1,9.1,"54,860",,,,"54,860",0,54860,"75,750",,,,"75,750",0,75750,FL0116009,Individual Permit,Palm Coast,Flagler,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
BUNNELL WWTP,12000224001,,,"$6,461,376",,,,,,,,,,,,,,"$6,461,376",,,.25,.3,.3,"2,010",,,,"2,010",0,2010,"2,500",,,,"2,500",0,2500,FL0020907,Individual Permit,Bunnell,Flagler,Lower St. Johns,03080103,6th Congressional District,FL,4,MAP
Beverly Beach WWTP,12000224003,,,,,,,,,,,,,,,,,,,,.085,.099,.099,800,,,,800,0,800,900,,,,900,0,900,FL0039756,Individual Permit,Flagler County,Flagler,Daytona - St. Augustine,03080201,6th Congressional District,FL,4,MAP
CARRABELLE STP,12000225001,,,,,,,,,,,,,,,,,,,,.332,1.2,1.2,"3,300",,,,"3,300",0,3300,"9,000",,,,"9,000",0,9000,,,"Carrabelle, City Of",Franklin,New,03130013,2nd Congressional District,FL,4,MAP
CHATTAHOOCHEE STP,12000226001,,,"$10,776,010",,,,,,,,,,,,,,"$10,776,010",,,.31,.5,.5,"3,652",,,,"3,652",0,3652,"4,608",,,,"4,608",0,4608,FL0027669,Individual Permit,CHATTAHOOCHEE,Gadsden,Apalachicola,03130011,2nd Congressional District,FL,4,MAP
GRETNA WWTP,12000227001,,,"$9,708,814",,,,,,,,,,,,,,"$9,708,814",,,.3,.4,.6,"2,000",,,,"2,000",0,2000,"2,500",,,,"2,500",0,2500,,,"GRETNA, CITY OF",Gadsden,Lower Ochlockonee,03120003,2nd Congressional District,FL,4,MAP
QUINCY WWTP,12000228001,,,"$32,317,455",,,,,,,,,,,,,,"$32,317,455",,,1.12,1.5,1.5,"8,000",,,,"8,000",0,8000,"9,000",,,,"9,000",0,9000,FL0029033,Individual Permit,Quincy,Gadsden,Lower Ochlockonee,03120003,2nd Congressional District,FL,4,MAP
Florida State Hospital,12000228004,,,"$28,013,396",,,,,,,,,,,,,,"$28,013,396",,,.15,1.3,1.3,"1,000",,,,"1,000",0,1000,"1,000",,,,"1,000",0,1000,FL0031402,Individual Permit,Florida State Hospital,Gadsden,Apalachicola,03130011,2nd Congressional District,FL,4,MAP
WEWAHITCHKA STP,12000233001,,,"$4,314,634",,,,,,,,,,,,,,"$4,314,634",,,.12,.24,.24,"1,262",,,,"1,262",0,1262,"1,750",,,,"1,750",0,1750,FL0020125,Individual Permit,"WEWAHITCHKA, CITY OF",Gulf,Chipola,03130012,2nd Congressional District,FL,4,MAP
JASPER WWTF,12000234001,,,"$12,848,727",,,,,,,,,,,,,,"$12,848,727",,,.75,1.2,1.2,"6,250",,,,"6,250",0,6250,"13,750",,,,"13,750",0,13750,FL0027880,Individual Permit,"JASPER, CITY OF",Hamilton,Upper Suwannee,03110201,3rd Congressional District,FL,4,MAP
JENNINGS STP,12000234002,,,,,,,,,,,,,,,,,,,,.125,.175,.175,840,,,,840,0,840,"1,250",,,,"1,250",0,1250,,,"JENNINGS, TOWN OF",Hamilton,Upper Suwannee,03110201,3rd Congressional District,FL,4,MAP
WHITE SPRINGS WWTP,12000236001,,,,,,,,,,,,,,,,,,,,.14,.15,.15,"1,000",,,,"1,000",0,1000,"1,250",,,,"1,250",0,1250,,,White Springs,Hamilton,Upper Suwannee,03110201,3rd Congressional District,FL,4,MAP
BOWLING GREEN STP,12000237001,,,,,,,,,,,,,,,,,,,,.17,.33,.33,"2,155",,,,"2,155",0,2155,"3,766",,,,"3,766",0,3766,,,Bowling Green,Hardee,Peace,03100101,17th Congressional District,FL,4,MAP
WAUCHULA STP,12000239001,,,"$16,347,606",,,,,,,,,,,,,,"$16,347,606",,,.6,1.2,3,"4,560",,,,"4,560",0,4560,"7,500",,,,"7,500",0,7500,,,Wauchula,Hardee,Peace,03100101,17th Congressional District,FL,4,MAP
Wauchula Hills WWTF,12000239002,,,,,,,,,,,,,,,,,,,,.1,.36,.36,"1,000",,,,"1,000",0,1000,"2,000",,,,"2,000",0,2000,,,Hardee County,Hardee,Peace,03100101,17th Congressional District,FL,4,MAP
ZOLFO SPRINGS STP,12000240001,,,,,,,,,,,,,,,,,,,,.13,.2,.2,"1,241",,,,"1,241",0,1241,"1,500",,,,"1,500",0,1500,,,Zolfo Springs,Hardee,Peace,03100101,17th Congressional District,FL,4,MAP
CLEWISTON STP,12000241001,,,"$11,306,766",,,,"$2,163,880",,,,,,,,,,"$13,470,646",,,1.15,1.5,2.25,"9,000",,,,"9,000",0,9000,"12,758",,,,"12,758",0,12758,FL0040665,Individual Permit,Clewiston,Hendry,Lake Okeechobee,03090201,20th Congressional District,FL,4,MAP
Lake Placid N. Main Street WWTPSTP,12000243001,,,,,,,,,,,,,,,,,,,,.2,.249,.249,"2,000",,,,"2,000",0,2000,"3,500",,,,"3,500",0,3500,,,Lake Placid,Highlands,Kissimmee,03090101,17th Congressional District,FL,4,MAP
SEBRING STP,12000244001,,,,,,,,,,,,,,,,,,,,.92,1.3,1.3,"7,500",,,,"7,500",0,7500,"11,000",,,,"11,000",0,11000,,,Sebring,Highlands,Kissimmee,03090101,17th Congressional District,FL,4,MAP
BONIFAY STP,12000245001,,,"$30,170,713",,,,,,,,,,,,,,"$30,170,713",,,.75,1.4,1.4,"5,000",,,,"5,000",0,5000,"7,500",,,,"7,500",0,7500,FL0027731,Individual Permit,Bonifay,Holmes,Lower Choctawhatchee,03140203,2nd Congressional District,FL,4,MAP
Noma STP,12000245005,,,"$539,329",,,,,,,,,,,,,,"$539,329",,,.02,.025,.025,133,,,,133,0,133,200,,,,200,0,200,FL0040207,Individual Permit,Noma,Holmes,Lower Choctawhatchee,03140203,1st Congressional District,FL,4,MAP
Ponce De Leon STP,12000247001,,,,,,,,,,,,,,,,,,,,.05,.075,.075,492,,,,492,0,492,750,,,,750,0,750,,,Ponce De Leon,Holmes,Lower Choctawhatchee,03140203,1st Congressional District,FL,4,MAP
COTTONDALE STP,12000250001,,,,,"$118,758",,"$2,275,280",,,,,,,,,,"$2,394,038",,,.08,.3,.3,713,,,,713,0,713,"1,000",,,,"1,000",0,1000,,,Cottondale,Jackson,Chipola,03130012,2nd Congressional District,FL,4,MAP
Grand Ridge WWTF,12000252001,,,,,,,,,,,,,,,,,,,,.1,.2,.2,892,,,,892,0,892,"1,133",,,,"1,133",0,1133,,,Grand Ridge WWTF,Jackson,Apalachicola,03130011,2nd Congressional District,FL,4,MAP
GRACEVILLE STP,12000253001,,,"$24,460,859",,,,,,,,,,,,,,"$24,460,859",,,.77,1.1,1.1,"4,101",,,,"4,101",0,4101,"6,543",,,,"6,543",0,6543,FL0038555,Individual Permit,Graceville,Jackson,Lower Choctawhatchee,03140203,2nd Congressional District,FL,4,MAP
MARIANNA WWTP,12000256001,,,"$388,427",,"$1,796,478",,"$990,491",,,,,,,,,,"$3,175,396",,,1.02,4,4,"6,225",,,,"6,225",0,6225,"10,750",,,,"10,750",0,10750,,,Marianna,Jackson,Chipola,03130012,2nd Congressional District,FL,4,MAP
MAYO WWTF,12000257001,,,,,,,,,,,,,,,,,,,,.1,.15,.15,"1,000",,,,"1,000",0,1000,"1,100",,,,"1,100",0,1100,,,Mayo,Lafayette,Lower Suwannee,03110205,3rd Congressional District,FL,4,MAP
Clermont West STP,12000258001,,,,,,,,,,,,,,,,,,,,.52,.99,.99,"6,642",,,,"6,642",0,6642,"11,828",,,,"11,828",0,11828,,,Clermont,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Clermont East STP,12000258002,,,,,"$770,971",,,,,,,,"$1,461,557",,,,"$2,232,528",,,2,4,4,"15,750",,,,"15,750",0,15750,"27,500",,,,"27,500",0,27500,,,Clermont,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Lady Lake WWTF,12000260001,,,,,,,,,,,,,,,,,,,,.2,.25,.25,"1,500",,,,"1,500",0,1500,"2,500",,,,"2,500",0,2500,,,Lady Lake,Lake,Oklawaha,03080102,11th Congressional District,FL,4,MAP
Groveland WWTF,12000261001,,,"$301,575",,"$1,090,694",,,,,,,,,,,,"$1,392,269",,,.209,.25,.5,"1,850",,,,"1,850",0,1850,"2,500",,,,"2,500",0,2500,,,Groveland,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Sunshine Parkway WWTF,12000261002,,,,,,,,,,,,,,,,,,,,.15,.15,.15,"1,500",,,,"1,500",0,1500,"2,000",,,,"2,000",0,2000,,,Groveland,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Mount Dora WWTP #1,12000263001,,,,,,,,,,,,,,,,,,,,1,1.5,1.5,"12,500",,,,"12,500",0,12500,"18,750",,,,"18,750",0,18750,,,Mount Dora,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Mount Dora WWTF #2,12000263003,,,"$154,400",,"$1,573,132",,,,,,,,,,,,"$1,727,532",,,.8,1,1,"7,500",,,,"7,500",0,7500,"9,500",,,,"9,500",0,9500,,,Mount Dora,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
St. Johns River Utility WWTF,12000264003,,,,,,,,,,,,,,,,,,,,.2,.3,.3,"1,530",,,,"1,530",0,1530,"2,250",,,,"2,250",0,2250,,,St. Johns River Utility,Lake,Lower St. Johns,03080103,5th Congressional District,FL,4,MAP
TAVARES WWTP,12000265001,,,,,,,,,,,,,"$16,469,162",,,,"$16,469,162",,,1.5,3.5,3.5,"11,400",,,,"11,400",0,11400,"24,830",,,,"24,830",0,24830,,,Tavares,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
Umatilla WWTF,12000266001,,,"$2,202,554",,"$2,000,021",,,,,,,,,,,,"$4,202,575",,,.25,.3,.6,"2,500",,,,"2,500",0,2500,"4,750",,,,"4,750",0,4750,,,Umatilla,Lake,Oklawaha,03080102,10th Congressional District,FL,4,MAP
CEDAR KEY STP,12000267001,,,,,,,,,,,,,,,,,,,,.09,.3,.3,702,,,,702,0,702,554,,,,554,0,554,FL0031216,Individual Permit,CEDAR KEY SW & S DIST,Levy,Waccasassa,03110101,3rd Congressional District,FL,4,MAP
Bristol WWTF,12000272001,,,,,,,,,,,,,,,,,,,,.132,.25,.25,"1,350",,,,"1,350",0,1350,"1,750",,,,"1,750",0,1750,FLA284602,Discharge,Bristol,Liberty,Apalachicola,03130011,2nd Congressional District,FL,4,MAP
Greenville WWTP,12000273001,,,"$977,088",,,,"$6,440,043",,,,,,,,,,"$7,417,131",,,.06,.12,.15,815,,,,815,0,815,"1,550",,,,"1,550",0,1550,,,Greenville,Madison,Aucilla,03110103,2nd Congressional District,FL,4,MAP
MADISON WWTP,12000275001,,,"$394,698",,"$1,439,825",,"$543,155",,,,,,,,,,"$2,377,678",,,.7,1.75,1.75,"3,017",,,,"3,017",0,3017,"10,000",,,,"10,000",0,10000,,,"MADISON, CITY OF",Madison,Aucilla,03110103,3rd Congressional District,FL,4,MAP
STUART STP,12000281001,,,,,,,,,,,,,,,,,,,,3.1,4,4,"22,250",,,,"22,250",0,22250,"27,750",,,,"27,750",0,27750,,,Stuart,Martin,Everglades,03090202,18th Congressional District,FL,4,MAP
Martin County Utilities North STP,12000281002,,,"$485,534",,"$1,060,671",,"$2,027,565",,,,,,,,,,"$3,573,770",,,1.06,2.76,4.14,"8,833",,,,"8,833",0,8833,"39,678",,,,"39,678",0,39678,,,MARTIN COUNTY,Martin,Everglades,03090202,18th Congressional District,FL,4,MAP
Tropical Farms STP,12000281005,,,"$4,054,213",,"$1,235,423",,"$762,558",,,,,,,,,,"$6,052,194",,,4.2,5,7.5,"42,139",,,,"42,139",0,42139,"49,595",,,,"49,595",0,49595,,,Martin County,Martin,Everglades,03090202,18th Congressional District,FL,4,MAP
Okeechobee UA WWTP,12000286001,,,,,,,,,,,,,,,,,,,,1.1,1.6,1.6,"9,500",,,,"9,500",0,9500,"11,750",,,,"11,750",0,11750,,,Okeechobee Utility Authority,Okeechobee,Northern Okeechobee Inflow,03090102,17th Congressional District,FL,4,MAP
SOUTH BERMUDA PLANT,12000287001,,,"$4,902,367",,"$6,943,467",,,,,,,,,,,,"$11,845,834",,,4.25,6,6,"35,000",,,,"35,000",0,35000,"47,500",,,,"47,500",0,47500,,,Tohopegaliga Water Authority,Osceola,Lower St. Johns,03080103,9th Congressional District,FL,4,MAP
PARKWAY STP,12000287003,,,"$1,375,711",,,,,,,,,,,,,,"$1,375,711",,,1.1,2.5,2.5,"9,750",,,,"9,750",0,9750,"20,000",,,,"20,000",0,20000,,,Tohopegaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
CAMELOT STP,12000287004,,,"$1,868,921",,"$4,912,023",,"$594,643",,,,,,,,,,"$7,375,587",,,2.25,5,5,"18,000",,,,"18,000",0,18000,"45,000",,,,"45,000",0,45000,,,Tohopegaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
Sandhill WWTP,12000287005,,,"$1,226,572",,"$7,453,120",,"$262,905",,,,,,,,,,"$8,942,597",,,3,4.9,4.9,"25,000",,,,"25,000",0,25000,"47,500",,,,"47,500",0,47500,,,Tohopekaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
St. Cloud Southside #2 WWTP,12000287007,,,,,,,,,,,,,,,,,,,,4.2,6,6,"37,500",,,,"37,500",0,37500,"48,750",,,,"48,750",0,48750,,,ST. CLOUD,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
Toho II WWTF,12000287009,,,,,,,,,,,,,,,,,,,,.1,.13,.13,800,,,,800,0,800,"1,000",,,,"1,000",0,1000,,,Tohopekaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
Toho IV (Poinciana System) WRF,12000287012,,,,,"$13,145,254",,"$95,602",,,,,,,,,,"$13,240,856",,,5.3,5.75,5.75,"47,500",,,,"47,500",0,47500,"52,000",,,,"52,000",0,52000,,,Tohopekaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
Toho Cypress West WRF,12000287013,,,,,,,,,,,,,,,,,,,,.55,.85,.85,"4,585",,,,"4,585",0,4585,"5,200",,,,"5,200",0,5200,FL0036862,Individual Permit,Tohopekaliga Water Authority,Osceola,Kissimmee,03090101,9th Congressional District,FL,4,MAP
LAKE ALFRED WPF,12000294001,,,,,,,"$2,795,425",,,,,,,,,,"$2,795,425",,,.45,1,1,"5,611",,,,"5,611",0,5611,"8,759",,,,"8,759",0,8759,,,Lake Alfred,Polk,Peace,03100101,10th Congressional District,FL,4,MAP
MULBERRY STP,12000298001,,,"$16,158,728",,"$1,247,112",,,,,,,,"$837,741",,,,"$18,243,581",,,.42,.75,.75,"3,750",,,,"3,750",0,3750,"4,500",,,,"4,500",0,4500,FL0020338,Individual Permit,"MULBERRY, CITY OF",Polk,Alafia,03100204,15th Congressional District,FL,4,MAP
WELAKA STP,12000300001,,,,,,,,,,,,,,,,,,,,.07,.1,.1,500,,,,500,0,500,800,,,,800,0,800,,,Welaka,Putnam,Lower St. Johns,03080103,6th Congressional District,FL,4,MAP
PALATKA STP,12000302001,,,"$64,645,486",,,,,,,,,,,,,,"$64,645,486",,,1.75,3,3,"12,500",,,,"12,500",0,12500,"17,250",,,,"17,250",0,17250,FL0040061,Individual Permit,Palatka,Putnam,Lower St. Johns,03080103,5th Congressional District,FL,4,MAP
Point Buena Vista WWTF,12000302003,,,"$327,828",,,,,,,,,,,,,,"$327,828",,,.015,.015,.015,115,,,,115,0,115,150,,,,150,0,150,FL0042617,Individual Permit,Putnam County,Putnam,Lower St. Johns,03080103,6th Congressional District,FL,4,MAP
Paradise Point WWTF,12000302004,,,"$105,751",,,,,,,,,,,,,,"$105,751",,,.005,.005,.005,40,,,,40,0,40,50,,,,50,0,50,FL0043176,Individual Permit,Putnam County,Putnam,Lower St. Johns,03080103,6th Congressional District,FL,4,MAP
HASTINGS STP,12000303001,,,"$2,590,895",,,,,,,,,,,,,,"$2,590,895",,,.08,.12,.12,777,,,,777,0,777,"1,020",,,,"1,020",0,1020,FL0042315,Individual Permit,Hastings,St. Johns,Lower St. Johns,03080103,6th Congressional District,FL,4,MAP
BRANFORD WWTP,12000315001,,,,,,,,,,,,,,,,,,,,.06,.115,.115,600,,,,600,0,600,900,,,,900,0,900,,,Branford,Suwannee,Lower Suwannee,03110205,3rd Congressional District,FL,4,MAP
