Organization Name,Facility Name,CWNS_NUM,City,State,Application,SIC4,NAICS,OpYear,Latest Install Year,Capacity (kW),Prime Mover,Fuel Class - Prim Fuel,Last Verified,Project Profile Link,Microgrid,Critical Infrastructure,EPA Award Winner,BIOGAS_DOE_2012,BIOGAS_DOE_2022,BIOGAS_DOE_PROJ
City of Omaha,Papillion Creek Wastewater Treatment Plant,31001825002,Bellevue,NE, Wastewater Treatment,4952,22132,1987,1987,1500,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of Nashua,Nashua Wastewater treatment plant,33000054001,Nashua,NH, Wastewater Treatment,4952,22132,2000,2000,365,Reciprocating Engine,RENEWABLE - Digester Gas,2004,,,X,,1,1,1
"Camden Bioenergy, LLC / Camden County Municipal Utilities Authority",County Regional Wastewater Treatment System,34006012001,Camden,NJ, Wastewater Treatment,4952,22132,2019,2019,3800,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,,1,1
Trenton Biogas,Waste-to-Energy Facility,34007424001,Trenton,NJ, Wastewater Treatment,4952,22132,2018,2018,3411,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/367/TrentonBiogas-Project_Profile.pdf,,X,,,1,1
Bergen County Utilities Authority,Bergen County Utilities Authority Wastewater Treatment,34001005001,Little Ferry,NJ, Wastewater Treatment,4952,22132,2008,2015,4200,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,X,X,,1,1,1
Ridgewood Green LLC,Ridgewood Water Pollution Control,34001379001,Glen Rock,NJ, Wastewater Treatment,4952,22132,2013,2013,240,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
Prodex,Wastewater Treatment Plant 1,,Elizabeth,NJ, Wastewater Treatment,4952,22132,2012,2012,3200,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Prodex,Wastewater Treatment Facility,6003010001,,NJ, Wastewater Treatment,4952,22132,2012,2012,1600,Combustion Turbine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
South Monmouth Regional Sewerage Authority (SMRSA),Belmar Wastewater Treatment Plant,34003099001,Belmar,NJ, Wastewater Treatment,4952,22132,2010,2010,280,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Long Branch Wastewater Treatment Plant,Long Branch Wastewater Treatment Plant,34003057001,Long Branch,NJ, Wastewater Treatment,4952,22132,2010,2010,130,Microturbine,RENEWABLE - Digester Gas,2016,,,X,,1,1,1
Joint Meeting of Essex & Union Counties,Elizabeth Wastewater Treatment Plant,34001030001,Elizabeth,NJ, Wastewater Treatment,4952,22132,2009,2009,2400,Reciprocating Engine,RENEWABLE - Digester Gas,2017,https://chptap.ornl.gov/profile/111/JointMeeting-Project_Profile.pdf,,X,,1,1,1
Landis Sewerage Authority,Landis Sewerage Wastewater Treatment Plant,34005051001,Vineland,NJ, Wastewater Treatment,4952,22132,2008,2008,170,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,Y,1,1,1
City of Santa Fe,Paseo Real Wastewater Treatment Plant,,Santa Fe,NM, Wastewater Treatment,4952,22132,2020,2020,500,Reciprocating Engine,RENEWABLE - Digester Gas,2020,https://chptap.ornl.gov/profile/313/PaseoRealWWTP-Project_Profile.pdf,,X,,,1,1
City of Santa Fe,Santa Fe Wastewater Treatment Plant,35200900104,Santa Fe,NM, Wastewater Treatment,4952,22132,2018,2018,336,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,,1,1
Las Cruces Utilities,Jacob A. Hands Wastewater Treatment Facility,35000028001,Las Cruces,NM, Wastewater Treatment,4952,22132,2017,2017,670,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
Albuquerque Bernalillo County Water Utility Authority,Southside Water Reclamation Plant,35000021002,Albuquerque,NM, Wastewater Treatment,4941,221320,1987,2002,6600,Reciprocating Engine,RENEWABLE - Digester Gas,2016,https://chptap.ornl.gov/profile/213/Southside_Water_Reclamation-Project_Profile.pdf,,X,,1,1,1
Cities of Reno and Sparks,Truckee Meadows Water Reclamation Facility,32000022002,Reno,NV, Wastewater Treatment,4952,22132,2016,2016,988,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/471/Truckee_Meadows_Water_Reclamation-Project_Profile.pdf,,X,,,1,1
Oneida County Sewer District WPCP,Oneida County Sewer District WPCP,36006158001,Utica,NY, Wastewater Treatment,4952,22132,2019,2022,1000,Microturbine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/465/Oneida_County_WPCP-Project_Profile.pdf,,X,,,1,1
Rockland County Sewer District,Rockland County Sewer District,36003095001,Orangeburg,NY, Wastewater Treatment,4952,221320,2021,2021,633,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
New York City Department of Environmental Protection,North River Wastewater Treatment Plant,36002001012,New York,NY, Wastewater Treatment,4952,22132,2020,2020,15000,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,,1,1
City of Cortland,Cortland Wastewater Treatment Facility,36007090001,Cortland,NY, Wastewater Treatment,4952,22132,2018,2018,500,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,,1,1
Great Neck Water Pollution Control District,Great Neck Water Pollution Control District,36001006001,Great Neck,NY, Wastewater Treatment,4952,22132,2014,2018,195,Microturbine,RENEWABLE - Digester Gas,2023,,,X,,,1,1
Gloversville Johnstown Joint Wastewater Treatment Facility,Gloversville Johnstown Joint Wastewater Treatment Facility,36005031001,Johnsonville,NY, Wastewater Treatment,4952,22132,2011,2016,1075,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,1,1,1
Yonkers Joint Wastewater Treatment Plant,Yonkers Joint Wastewater Treatment Plant,36003169012,Yonkers,NY, Wastewater Treatment,4952,562212,2013,2013,1400,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,,1,1
GEM Energy,City of Ithaca Wastewater Treatment Plant,36007227001,Ithaca,NY, Wastewater Treatment,4952,221132,2013,2013,260,Microturbine,RENEWABLE - Digester Gas,2017,,X,X,,,1,1
GEM Energy,City of Jamestown Wastewater Treatment Plant,36009052001,Falconer,NY, Wastewater Treatment,4952,221132,2012,2012,65,Microturbine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
Village Of Medina,Medina Wastewater Treatment Plant,36008066001,Medina,NY, Wastewater Treatment,4952,22132,2012,2012,60,Reciprocating Engine,RENEWABLE - Digester Gas,2019,,,X,,1,1,1
Biosolids Handling Improvements Project,Onondaga County Biosolids Handling Improvement Project,36007136001,Syracuse,NY, Wastewater Treatment,4952,22132,2011,2011,350,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
NYSERDA,Schenectady Wastewater Treatment Plant,36004050001,Schenectady,NY, Wastewater Treatment,4952,22132,2011,2011,280,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
City of Auburn Wastewater Treatment Plant / Waste Heat Sludge Incinerator CHP Project,Auburn Sewage Treatment Plant,36007027001,Auburn,NY, Wastewater Treatment,4952,22132,2010,2010,1400,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
Town of Lewiston,Water Pollution Control Center,36009107001,Lewiston,NY, Wastewater Treatment,4952,22132,2010,2010,30,Microturbine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Metropolitan Syracuse Wastewater Treatment Plant,Metropolitan Syracuse WWTP,36007136001,Syracuse,NY, Wastewater Treatment,4952,22132,2009,2009,350,Reciprocating Engine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
Oakwood Beach Water Pollution Control Plant,Oakwood Beach WPCP,36002001013,Staten Island,NY, Wastewater Treatment,4952,22132,2003,2003,1600,Fuel Cell,RENEWABLE - Digester Gas,2018,,,X,,1,1,1
City of Lakewood,Lakewood Wastewater Treatment Plant,39004243001,Rocky River,OH, Wastewater Treatment,4952,22132,2020,2020,100,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
Eastern Ohio Regional Wastewater Authority (EORWA),Bellaire Wastewater Treatment Plant,39000630001,Bellaire,OH, Wastewater Treatment,4952,22132,2019,2019,333,Microturbine,RENEWABLE - Digester Gas,2021,,,X,,,1,1
GEM Energy,Lima Wastewater Treatment Plant,39004480001,Lima,OH, Wastewater Treatment,4952,22132,2012,2012,130,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of Twinsburg,Twinsburg Wastewater Treatment,39008358001,Twinsburg,OH, Wastewater Treatment,4952,22132,2011,2011,65,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Struthers Wastewater Pollution Control,Wastewater Treatment Plant,6002125001,Struthers,OH, Wastewater Treatment,4952,22132,2010,2010,1000,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,1,1,1
Tri-City Service District,Tri-City Water Pollution Control Plant,39001370004,Oregon City,OR, Wastewater Treatment,4952,22132,2021,2021,600,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
City of Salem,Willow Lake WWTP,41000031001,Salem,OR, Wastewater Treatment,4952,22132,2020,2020,1200,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/469/Willow_Lake_WWTF-Project_Profile.pdf,,X,,,1,1
City of Dalles / Jacobs Engineering,City of the Dalles WWTF,41000065001,The Dalles,OR, Wastewater Treatment,4952,22132,2019,2019,1265,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
Clean Water Services,Durham Wastewater Plant,41000022005,Tigard,OR, Wastewater Treatment,4952,22132,2016,2016,1700,Reciprocating Engine,RENEWABLE - Digester Gas,2021,https://chptap.ornl.gov/profile/61/Durham_WWTF-Project_Profile.pdf,,X,,,1,1
City of Gresham,Gresham Wastewater Plant,41000015001,Gresham,OR, Wastewater Treatment,4952,22132,2005,2015,790,Reciprocating Engine,RENEWABLE - Digester Gas,2018,https://chptap.ornl.gov/profile/90/Gresham_WWTF-Project_Profile.pdf,,X,,1,1,1
City of Medford,Medford Regional Water Reclamation Facility,41000059001,Medford,OR, Wastewater Treatment,4952,22132,2012,2012,750,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
City of Pendleton,Pendleton Wastewater Treatment Facility,41000063001,Pendleton,OR, Wastewater Treatment,4952,22132,2012,2012,130,Microturbine,RENEWABLE - Digester Gas,2022,,,X,,1,1,1
City of Portland WWTP,Columbia Boulevard Wastewater Plant,41000017001,Portland,OR, Wastewater Treatment,4952,22132,2009,2009,1700,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
Eugene/Springfield Wastewater,Eugene-Springfield Metro WWTP,41000045001,Springfield,OR, Wastewater Treatment,4952,22132,1984,1984,800,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Clean Water Services,Rock Creek WWTP,41000022013,Hillsboro,OR, Wastewater Treatment,4952,22132,1978,1978,1000,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Clackamas Co. Serv. Dist. #1,Kellogg Creek Water Pollution Control Plant,41000001001,Milwaukie,OR, Wastewater Treatment,4952,22132,1974,1974,250,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
Throop Wastewater Treatment Plant,Throop Wastewater Treatment Plant,42002118003,Throop,PA, Wastewater Treatment,4952,22132,2015,2015,130,Microturbine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
"RETTEW Associates, Inc., Hermitage Municipal Authority",Bobby Run Wastewater Treatment Plant,42006125001,Hermitage,PA, Wastewater Treatment,4952,22132,2014,2014,600,Reciprocating Engine,RENEWABLE - Digester Gas,2015,,,X,,,1,1
Ameresco / Philadelphia Water Department,PWD Northeast Water Pollution Control Plant,42000094001,Philadelphia,PA, Wastewater Treatment,4952,221132,2013,2013,5600,Reciprocating Engine,RENEWABLE - Digester Gas,2023,https://chptap.ornl.gov/profile/358/PWD-Project_Profile.pdf,,X,,,1,1
East Pennsboro Township,East Pennsboro Township WWTP,42003082001,Cumberland,PA, Wastewater Treatment,4952,22132,2012,2012,200,Reciprocating Engine,RENEWABLE - Digester Gas,2012,,,X,,1,1,1
City of York Sewer Authority,City of York Wastewater Treatment Plant,42003167001,York,PA, Wastewater Treatment,4952,22132,2011,2011,1000,Microturbine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
City of Allentown,Allentown Wastewater Treatment Plant,42001010001,Allentown,PA, Wastewater Treatment,4952,22132,2001,2001,390,Microturbine,RENEWABLE - Digester Gas,2003,https://chptap.ornl.gov/profile/9/allentown_wwtp_project_profile1.pdf,,X,,1,1,1
Narragansett Bay Commission,Bucklin Point Wastewater Treatment Facility,44000031001,East Providence,RI, Wastewater Treatment,4952,22132,2020,2020,677,Reciprocating Engine,RENEWABLE - Digester Gas,2022,,,X,,,1,1
Renewable Water Resources (ReWa),Mauldin Road WWTF,45000614007,Greenville,SC, Wastewater Treatment,4952,22132,2012,2012,800,Reciprocating Engine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
City of Franklin,City of Franklin Water Reclamation Facility,47000515001,Franklin,TN, Wastewater Treatment,4941,,2022,2022,630,Reciprocating Engine,RENEWABLE - Digester Gas,2023,,,X,,,1,1
Waco Metropolitan Area Regional Sewerage System,Waco Wastewater Treatment Plant,48000001003,Waco,TX, Wastewater Treatment,4952,22132,2007,2016,2133,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
City of Fort Worth - Arlington Landfill,Village Creek Municipal WWTP,48004122001,Fort Worth,TX, Wastewater Treatment,4952,22132,2012,2012,12500,Combustion Turbine,RENEWABLE - Digester Gas,2022,https://chptap.ornl.gov/profile/263/village-creek-water-reclamation-facility.pdf,,X,,1,1,1
Hornsby Bend Biosolids Management Plant,Hornsby Bend Biosolids Management Plant,48003033004,Austin,TX, Wastewater Treatment,4952,22132,2012,2012,850,Reciprocating Engine,RENEWABLE - Digester Gas,2020,https://chptap.ornl.gov/profile/99/HornsbyBiosolids-Project_Profile.pdf,,X,,1,1,1
Ameresco,Southside Wastewater Treatment Plant,48004026002,Dallas,TX, Wastewater Treatment,4952,22132,2011,2011,4200,Reciprocating Engine,RENEWABLE - Digester Gas,2024,https://chptap.ornl.gov/profile/212/southside-wastewater-treatment-plant.pdf,,X,,1,1,1
Central Valley Water Reclamation Facility,Central Valley Water Reclamation Facility,49000094001,Salt Lake City,UT, Wastewater Treatment,4952,22132,2019,2019,6320,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,,1,1
North Davis Sewer District,North Davis Wastewater Treatment Plant,49000018001,Syracuse,UT, Wastewater Treatment,4952,22132,2016,2016,2200,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Salt Lake City Water Reclamation Plant,Salt Lake City Water Reclamation Plant,49000055001,Salt Lake City,UT, Wastewater Treatment,4952,22132,2004,2004,1400,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Central Weber Wastewater Treatment Plant,Central Weber Wastewater Treatment Plant,49000130001,Ogden,UT, Wastewater Treatment,4952,22132,2000,2000,1246,Reciprocating Engine,RENEWABLE - Digester Gas,2005,,,X,,1,1,1
North Davis County Sewer Improvement District,North Davis County Sewer Improvement District,,Syracuse,UT, Wastewater Treatment,4952,22132,1998,1998,1400,Reciprocating Engine,RENEWABLE - Digester Gas,2005,,,X,,1,1,1
Frederick-Winchester Service Authority,Opequon Water Reclamation Facility,49000130001,Winchester,VA, Wastewater Treatment,4952,22132,2014,2014,849,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
"Upper Occoquan Service Authority, Johnson Controls",Upper Occoquan Service Authority Wastewater Treatment Plant,51000334001,Centreville,VA, Wastewater Treatment,4952,22132,2014,2014,848,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
Town of Wytheville,Wastewater Treatment Plant,6002125001,Wytheville,VA, Wastewater Treatment,4952,22132,2014,2014,180,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Town of Marion,Wastewater Treatment Plant,6002125001,Marion,VA, Wastewater Treatment,4952,22132,2014,2014,100,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,,1,1
Hampton Roads Sanitation District,Atlantic Wastewater Treatment Plant,51000308012,Virginia Beach,VA, Wastewater Treatment,4952,22132,2013,2013,2400,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,,1,1
Wolf Creek Water Reclamation Facility,Wolf Creek Water Reclamation Facility,51000123001,Abingdon,VA, Wastewater Treatment,4952,22132,2010,2010,60,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
City of Covington,Wastewater Treatment Plant,6002125001,Covington,VA, Wastewater Treatment,4952,22132,2010,2010,43,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Village of Essex Junction,Essex Junction Wastewater Treatment,50000025001,Essex Junction,VT, Wastewater Treatment,4952,22132,2015,2015,150,Reciprocating Engine,RENEWABLE - Digester Gas,2021,https://chptap.ornl.gov/profile/354/EssexJunction-Project_Profile.pdf,,X,,,1,1
Brattleboro Wastewater Treatment Plant,Brattleboro WWTP,50000013001,Brattleboro,VT, Wastewater Treatment,4952,221132,2012,2012,250,Microturbine,RENEWABLE - Digester Gas,2013,,,X,,1,1,1
2G Energy,Kitsap County Wastewater Treatment Plant,53002625501,Poulsbo,WA, Wastewater Treatment,4952,22132,2015,2015,250,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,,1,1
King County Wastewater Treatment Division,West Point Treatment Plant,53000776002,Seattle,WA, Wastewater Treatment,4952,22132,2012,2012,2300,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,1,1,1
Brightwater Wastewater Treatment Plant,Brightwater Wastewater Treatment Plant,53000776007,Woodinville,WA, Wastewater Treatment,4952,221132,2011,2011,1000,Reciprocating Engine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Spokane Regional Water Reclamation Facility,Spokane Regional Water Reclamation Facility,53001220001,Spokane,WA, Wastewater Treatment,4941,221310,2011,2011,265,Microturbine,RENEWABLE - Digester Gas,2012,,,X,,1,1,1
LOTT Alliance,Budd Inlet Treatment Plant,53000920001,Olympia,WA, Wastewater Treatment,4952,22132,2009,2009,335,Reciprocating Engine,RENEWABLE - Digester Gas,2016,https://chptap.ornl.gov/profile/27/BuddInletWWTF-Project_Profile.pdf,,X,,1,1,1
King County Wastewater Treatment Div.,South Treatment Plant,53000776001,Renton,WA, Wastewater Treatment,4952,22132,2005,2005,4500,Combustion Turbine,RENEWABLE - Digester Gas,2023,,,X,,1,1,1
City of Kiel,Kiel Wastewater Treatment Plant,55002430001,Kiel,WI, Wastewater Treatment,4952,22132,2016,2016,280,Reciprocating Engine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
City of Kenosha,Kenosha Water Utility Wastewater Treatment Plant,55002400001,Kenosha,WI, Wastewater Treatment,4952,22132,2015,2015,660,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
Total Electric,Eau Claire Wastewater Treatment Plant,55001470001,Eau Claire,WI, Wastewater Treatment,4952,22132,2015,2015,550,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
City of Plymouth,Plymouth Utilities’ Wastewater Treatment Plant,55003810002,Plymouth,WI, Wastewater Treatment,4952,22132,2015,2015,130,Microturbine,RENEWABLE - Digester Gas,2016,,,X,,,1,1
Stevens Point Wastewater Treatment Plant,Stevens Point Wastewater Treatment Plant,55004620001,Stevens Point,WI, Wastewater Treatment,4952,22132,2013,2013,180,Reciprocating Engine,RENEWABLE - Digester Gas,2018,,,X,,,1,1
Janesville Wastewater Treatment Facility,Janesville Wastewater Treatment Facility,55002320001,Janesville,WI, Wastewater Treatment,4952,22132,2011,2012,460,Microturbine,RENEWABLE - Digester Gas,2017,https://chptap.ornl.gov/profile/109/JanesvilleWWT-Project_Profile.pdf,,X,,1,1,1
City of Beaver Dam,Beaver Dam Municipal Water Treatment Plant,55000380001,Beaver Dam,WI, Wastewater Treatment,4952,22132,2011,2011,788,Reciprocating Engine,RENEWABLE - Digester Gas,2011,,,X,,1,1,1
Capstone,Sheboygan Wastewater Treatment Plant,55004330001,Sheboygan,WI, Wastewater Treatment,4952,22132,2006,2010,700,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Milwaukee Metro Sewerage Dist,MMSD South Shore Wastewater Treatment Plant,55003100001,Oak Creek,WI, Wastewater Treatment,4952,22132,2000,2010,5100,Reciprocating Engine,RENEWABLE - Digester Gas,2017,,,X,,1,1,1
August Winter & Sons,Wisconsin Rapids Wastewater Treatment Plant,55005400001,Wisconsin Rapids,WI, Wastewater Treatment,4952,22132,2009,2009,333,Reciprocating Engine,RENEWABLE - Digester Gas,2020,,,X,,1,1,1
City of Chippewa Falls WWTP,Wastewater Treatment Plant,6002125001,Chippewa Falls,WI, Wastewater Treatment,4952,22132,2003,2003,60,Microturbine,RENEWABLE - Digester Gas,2014,,,X,,1,1,1
Kaukauna Wastewater Treatment Plant,Kaukauna WWTP,55000027001,Kaukauna,WI, Wastewater Treatment,4952,22132,2002,2002,30,Microturbine,RENEWABLE - Digester Gas,2007,,,X,,1,1,1
Sun Prairie Wastewater Treatment Plant,Sun Prairie WWTP,55004720002,Sun Prairie,WI, Wastewater Treatment,4952,22132,2002,2002,30,Microturbine,RENEWABLE - Digester Gas,2007,,,X,,1,1,1
