AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified Activated Sludge,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,UCT,FourStageBardenpho,FiveStageBardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Heat Recovery
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,r5-2022-0004_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,present,0,present,0,0,0,0,0,0,0,0,0,0
Lincoln-SMD1 Wastewater Authority,Lincoln City WWTF,CA0084476,r5-2024-0024_npdes.pdf,No,0,0,present_and_future,0,present_and_future,0,0,0,0,0,present_and_future,0,0,0,future,0,0,0,present_and_future,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,present,0,0,present,0,0,0,0,0,0,0
Linda Cnty Water District,Linda Cnty Water District WWTP,CA0079651,r5-2022-0070_npdes.pdf,No,0,present_and_future,present,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,present,present,present,present,0,present_and_future,0,0,0,0,0,present_and_future,present,0,0,0,0,0,0,0
Loleta CSD,Loleta WWTF,CA0023671,20_0002_Loleta_CSD_WDR and Recycling NPDES.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Lompoc City,Lompoc City Regional Wastewater Reclamation Plant,CA0048127,lompoc_finalorder.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,present,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty DPW,Malibu Mesa WRP,CA0059099,6599_R4-2021-0062_WDR.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,present,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0
Manteca City,City of Manteca WW Quality Control Facility,CA0081558,r5-2021-0003_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,present,present,0,present,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Marin Cnty Sanitary District 5,Marin CSD 5 - Tiburon WWTP,CA0037753,R2-2023-0018.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Marin Cnty Sanitary District 5,Marin CSD 5 Paradise Cove WWTP,CA0037427,Paradise Cove - R2-2021-0017.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKinleyville Community Service District,McKinleyville WWTP,CA0024490,2024_0023_mckinleyville_sc_npdes_signed.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0
Mendocino City CSD,Mendocino City CSD,CA0022870,22_01mendo_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Mendocino County WWD #2 Anchor Bay,Mendocino County WWD#2-Anchor Bay,CA0024040,21_0005_AnchorBay_WWTF_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modesto City,City of Modesto WQCF,CAC448536,mgo_amend_strike.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,present,present,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0
Montecito Sanitary District,Montecito SD WWTP,CA0047899,20220829_Order R3-2022-0010_Final (ACC).pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monterey One Water,Monterey One Water Regional WWTP,CA0048551,r3-2024-0045.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,future,present,0,present,0,present,0,present,0,0,present,0,0,0,0,0,0,0
Mountain House City,Mountain House WWTP,CA0084271,r5-2023-0033-01_npdes.pdf,No,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain House City,Mountain House WWTP,CA0084271,r5-2023-0033_npdes.pdf,No,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,present_and_future,0,0,0,0,0,present,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain House City,Mountain House WWTP,CA0084271,r5-2023-0033_npdes_mod.pdf,No,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,present_and_future,0,0,0,0,0,present,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt Shasta City,Mount Shasta WWTP,CA0078051,r5-2023-0016_npdes.pdf,No,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,present_and_future,0,0,present_and_future,present,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Mt View Sanitary District,Mt. View Sanitary District WWTP,CA0037770,MVSD Final Order ADA.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,future,0,0,present_and_future,0,0,0,0,0,0,0,0,present,0,present_and_future,present,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,0
Napa Sanitation District,Napa Sanitation District WWTP (Soscol Water Recycling Facility),CA0037575,Order_R2-2022-0003.pdf,No,0,present_and_future,present,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,0,0,0,present,0,present,0,0,0,0,0,0,0,0,present_and_future,0
Nevada City,Nevada City WWTP,CA0079901,r5-2022-0039_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Newhall Ranch SD,Newhall Ranch WRP,CA0064556,9322_R4-2024-0390_WDR_PKG.pdf.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
North San Mateo County Sanitation District,North San Mateo County Sanitation District WWTP,CA0037737,CA0037737 NSMCSD Order R2-2022-0036.pdf,No,0,present,present,present,present,0,0,0,0,0,0,present,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,present,0,0,0,present,present,present,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0
Olivehurst PUD,Olivehurst WWTP,CA0077836,r5-2021-0024_npdes.pdf,No,0,0,present_and_future,0,present_and_future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,present,0,0,0,0,0,0,0
Orange County Water District,Groundwater Replenishment System - Advanced WTF,,R8-2022-0050_WDR_OCWD_GWRS.pdf,No,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oro Loma Sanitary District,Oro Loma/Castro Valley SD WPCP,CA0037559,Order R2-2024-0006.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palo Alto City,Palo Alto Regional WQCP,CA0037834,CA0037834 Palo Alto Order R2-2025-0003.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,future,present_and_future,0,0,0,present_and_future,0,future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0
Pinole City,City of Pinole WWTP,CA0037796,R2-2023-0008.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Red Bluff City,Red Bluff WW Reclamation Plant,CA0078891,r5_2023-0048_npdes.pdf,No,0,0,present_and_future,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,present,present,0,0,present,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Redway CSD,Redway POTW,CA0022781,23_0004_Redway_CSD_NPDES_01.26.23_EOsigned.pdf,No,0,0,present,0,present_and_future,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Rio Dell City,Rio Dell City WWTF,CA0022748,Order No. 2023-0022 Combined.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Vista City,Beach WWTF,CA0079588,r5-2024-0054_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Rio Vista City,Northwest WWTF,CA0083771,r5-2021-0004.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,present,0,0,present,0,0,0,0,0,0,0
River Highlands CSD,Hammonton Gold Village WWTP,CA0081574,r5-2022-0024_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodeo Sanitary District,Rodeo Sanitary District WWTP,CA0037826,R2-2022-0037.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,future,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present_and_future,present_and_future,present_and_future,0,future,0,present,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,El Toro WD WRP,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,Irvine Desalter Project Shallow GW Unit,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA - Coastal TP,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA Aliso Creek Ocean Outfall,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA - Regional TP,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,IRWD Los Alisos WRP,CA0107611,r9_2022_0006_acoo_signature signed dwg 03-18-21.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,present,present,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,CA0107417,att._1_to_amending_order_sjcoo.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
