Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Montecito Sanitary District,"1042 Monte Cristo Lane, Santa Barbara, CA 93108",Montecito SD WWTP,"1042 Monte Cristo Lane, Montecito, CA 93108",34.42059,-119.65052,Wastewater Treatment Facility,4952,Santa Barbara,3,"NPDMUNILRG, SLIC",Active,NPDES Permit,R3-2022-0010,3 420107001,CA0047899,08/25/2022,11/01/2022,,2027-10-31,1.5,Major,A,2,,,,1,12,
Santa Barbara City PWD,"Po Box 1990, Santa Barbara, CA 93102-1990",El Estero Water Resource Center NPDES,"520 East Yanonali Street, Santa Barbara, CA 93103",34.417606,-119.68567,Wastewater Treatment Facility,4952,Santa Barbara,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 420108001,,,07/09/2020,,,,Major,,,,,,1,32,
Santa Barbara City PWD,"Po Box 1990, Santa Barbara, CA 93102-1990","El Estero Reclamation Facility, Recycle Water Use","520 East Yanonali Street, Santa Barbara, CA 93103",34.417642,-119.684622,Wastewater Treatment Facility,4952,Santa Barbara,SB,"REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 420108005,,,07/09/2020,,,,,,,,,,0,1,
City of Santa Maria,"110 South Pine Street 101, Santa Maria, CA 93458",City of Santa Maria WWTP,"601 Black Road, Santa Maria, CA 93458",34.9489,-120.4908,Wastewater Treatment Facility,4952,Santa Barbara,3,"SLIC, WDRMUNILRG",Active,Enrollee - WDR,R3-2020-0020,3 420109001,,,06/16/2023,,2030-09-24,8,,B,2,,,,1,26,
Solvang City,"1644 Oak Street, Solvang, CA 93463",Solvang WWTP,"101 South Alisal Road, Solvang, CA 93463",34.590278,-120.157853,Wastewater Treatment Facility,4952,Santa Barbara,3,"SLIC, WDRMUNILRG",Active,Enrollee - WDR,R3-2020-0020,3 420110001,,,06/10/2022,,2030-09-24,1.5,,B,2,,,,1,58,
Summerland SD,"Po Box 417, Summerland, CA 93067",Summerland SD WWTP,"2435 Wallace Avenue, Summerland, CA 93067",34.419298,-119.596606,Wastewater Treatment Facility,4952,Santa Barbara,3,NPDMUNIOTH,Active,NPDES Permit,R3-2022-0014,3 420111001,CA0048054,08/25/2022,11/01/2022,,2027-10-31,0.3,Minor,B,2,,,,0,0,
Santa Barbara County Parks Dept,"123 East Anapamu Street, Santa Barbara, CA 93101",Cachuma Lake Recreation Area WWTP,"579 San Marcos Pass Road, Santa Barbara, CA 93105",34.57719,-119.97852,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,2014-0153-DWQ,3 420113001,,,06/15/2022,,2029-09-23,0.049999,,B,2,,,,0,20,
Mission Hills CSD,"1550 East Burton Mesa Boulevard, Lompoc, CA 93436",Mission Hills La Purisima WWTP,"1550 East Burton Mesa Boulevard, Lompoc, CA 93436",34.68947,-120.43185,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,WDR,R3-2019-0042,3 420114004,,05/17/2019,05/17/2019,,2029-05-17,0.57,,B,3,,,,0,11,
Santa Barbara County Parks Dept,"123 East Anapamu Street, Santa Barbara, CA 93101",Jalama Beach County Park WWTP,"9999 Jalama Road, Lompoc, CA 93436",34.51026,-120.50098,Wastewater Treatment Facility,,Santa Barbara,3,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,3 420116002,,,06/03/2024,,2029-09-23,.0058,,C,2,,,,1,6,
Los Alamos CSD,"Po Box 675, Los Alamos, CA 93440",Los Alamos WWTP,"8690 Bell Street, Los Alamos, CA 93440",34.75348,-120.29377,Wastewater Treatment Facility,4952,Santa Barbara,3,WDRMUNILRG,Active,Enrollee - WDR,R3-2020-0020,3 420118001,,08/24/2022,08/24/2022,,2032-08-24,.200,,B,2,,,,1,75,
Cuyama Community Services District,"Po Box 368, Ew Cuyama, CA 93254",Cuyama CSD WWTP,"5033 Highway 166, New Cuyama, CA 93254",34.95129,-119.69422,Wastewater Treatment Facility,4952,Santa Barbara,3,"NPDMUNIOTH, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,3 421003001,,,09/20/2017,,2027-09-19,0.1,Minor,B,3,,,,0,4,
South County Regional WW Authority,"1500 Southside Drive, Gilroy, CA 95020",SCRWA WWTP,"1500 Southside Drive, Gilroy, CA 95020",36.9826174,-121.5328007,Wastewater Treatment Facility,4952,Santa Clara,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 430100001,,,07/09/2020,,,,Major,,,,,,0,16,
South County Regional WW Authority,"1500 Southside Drive, Gilroy, CA 95020",SCRWA Reclamation Facility and Use Areas,"1500 Southside Drive, Gilroy, CA 95020",36.98759,-121.53745,Wastewater Treatment Facility,4952,Santa Clara,3,"WDR, WDRMUNILRG",Active,WDR,98-052,3 430100003,,05/29/1998,05/29/1998,,2008-05-29,15,,B,2,,,,0,0,
Lion's Gate CSD,"1 Cordevalle Club Drive, San Martin, CA 95046",Lion's Gate Reserve,"1005 Highland Ave, San Martin, CA 95046",37.06829,-121.61994,Wastewater Treatment Facility,4952,Santa Clara,3,WDRMUNIOTH,Active,WDR,R3-2010-0010,3 431018001,,09/02/2010,09/02/2010,,2014-01-03,0.03,,B,3,,,,0,27,
Santa Cruz City,"809 Center Street 201, Santa Cruz, CA 95060-3826",Santa Cruz WWTP,"110 California Street, Santa Cruz, CA 95060",36.961587,-122.030999,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440102001,,,07/09/2020,,,,Major,,,,,,0,18,
Scotts Valley,"2 Civic Center Drive, Scotts Valley, CA 95066",Scotts Valley WWTP,"700 Lundy Lane, Scotts Valley, CA 95066",37.041592,-122.026715,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNIOTH, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440103001,,,07/09/2020,,,,"Major, Minor",,,,,,1,13,
Watsonville City,"250 Main Street, Watsonville, CA 95077-5000",Watsonville WWTP,"401 Panabaker Lane, Watsonville, CA 95077",36.886751,-121.785478,Wastewater Treatment Facility,4952,Santa Cruz,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,3 440104001,,,07/09/2020,,,,Major,,,,,,1,16,
San Lorenzo Valley Water District,"13060 Highway 9, Boulder Creek, CA 95006",Bear Creek Estates WWF,"15900 Bear Creek Rd, Boulder Creek, CA 95006",37.144717767719,-122.087802367706,Wastewater Treatment Facility,4952,Santa Cruz,3,WDRMUNIOTH,Active,WDR,00-043,3 440107001,,07/14/2000,07/14/2000,,2015-07-14,.0165,,C,2,,,,1,24,
City of Santa Cruz,"809 Center Street, Santa Cruz, CA 95060",Santa Cruz WWTP,"110 California Street, Santa Cruz, CA 95060",36.961587,-122.030999,Wastewater Treatment Facility,4952,Santa Cruz,3,NPDMUNILRG,Active,NPDES Permit,R3-2023-0001,3 440124003,CA0048194,12/15/2023,03/01/2024,,2029-02-28,17,Major,A,1,,,,0,18,
Ca Dept of Forestry Ben Lomond,"13575 Empire Grade, Santa Cruz, CA 95060",Ben Lomond Conservation Camp,"13575 Empire Grade, Santa Cruz, CA 95060",37.131197,-122.168028,Wastewater Treatment Facility,4952,Santa Cruz,3,WDRMUNIOTH,Active,WDR,01-026,3 440801001,,05/18/2001,05/18/2001,,2016-05-18,0.015,,C,3,,,,1,14,
Davenport CSD,"701 Ocean Street, Santa Cruz, CA 95060",Davenport WWTP,"700 Cement Plant Road, Davenport, CA 95017",37.0188,-122.20502,Wastewater Treatment Facility,4952,Santa Cruz,3,WDRMUNIOTH,Active,WDR,R3-2019-0008,3 440813511,,05/17/2019,05/17/2019,,2034-05-17,0.048,,B,3,,,,0,1,
Santa Cruz CSA 07,"701 Ocean Street, Santa Cruz, CA 95060",Boulder Creek Golf & Cntry Club WWTP,"16901 Big Basin Way, Boulder Creek, CA 95006",37.15394,-122.16183,Wastewater Treatment Facility,4952,Santa Cruz,3,"REC, WDRMUNILRG",Active,Enrollee - WDR,2014-0153-DWQ,3 441000001,,,09/30/2022,,2029-09-23,0.1,,B,2,,,,0,6,
Santa Cruz CSA 07,"701 Ocean Street, Santa Cruz, CA 95060",Big Basin Woods Subdivision WWTP,"Hwy 236 and Fallen Leaf Drive, Boulder Creek, CA 95006",37.14488,-122.15683,Wastewater Treatment Facility,4952,Santa Cruz,3,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,3 441001001,,,07/01/2024,,2034-06-30,.009,,B,3,,,,9,22,
Monterey Bay Academy,"783 San Andreas Road, La Selva Beach, CA 95076-1907",Monterey Bay Academy WWTP,"783 San Andreas Rd, La Selva Beach, CA 95076",36.90513,-121.8399,Wastewater Treatment Facility,,Santa Cruz,3,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,3 441004001,,,03/20/2024,,2029-09-23,0.0499,,B,2,,,,1,5,
Pajaro Valley Water Management Agency,"36 Brennan Street, Watsonville, CA 95076-4303",Pajaro Valley WMA and City of Watsonville Water Reclamation,"401 Panabaker Lane, Watsonville, CA 95076",36.88617,-121.78613,Wastewater Treatment Facility,,Santa Cruz,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,3 441208240,,,07/09/2020,,,,,,,,,,0,10,
Scotts Valley,"2 Civic Center Drive, Scotts Valley, CA 95066",Scotts Valley WWTF Producer,"700 Lundy Ln, Scotts Valley, CA 95066",37.041247,-122.02551,Wastewater Treatment Facility,,Santa Cruz,3,WDRMUNILRG,Active,WDR,R3-2001-0066,3 449902003,,07/13/2001,07/13/2001,,2016-07-13,1.0,,C,3,,,,1,8,
Golden Valley MWD,"Po Box 81, Gorman, CA 93243",Gorman WWTP,"4712 Gorman Post Road, Gorman, CA 93243",34.793,-118.8447,Wastewater Treatment Facility,9511,Los Angeles,4,WDRMUNIOTH,Active,WDR,94-087,4A190107001,,08/22/1994,08/22/1994,,,.020,,B,2,,,,0,11,
Santa Clarita Valley SD of Los Angeles Cnty,"Po Box 4998, Whittier, CA 90607-4998",Saugus Water Reclamation Plant,"26200 Springbrook Avenue, Santa Clarita, CA 91350",34.413831,-118.539766,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2022-0175,4A190107021,CA0054313,05/12/2022,07/01/2022,,2027-06-30,6.5,Major,A,1,,,,0,37,
Santa Clarita Valley SD of Los Angeles Cnty,"Po Box 4998, Whittier, CA 90607-4998",Valencia WRP,"28185 The Old Road, Valencia, CA 91355",34.429975,-118.591001,Wastewater Treatment Facility,4941(+),Los Angeles,4,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,NPDES Permit,R4-2022-0174,4A190107023,CA0054216,05/12/2022,07/01/2022,,2027-06-30,21.6,"Major, Minor",A,1,,,,0,45,
Los Angeles Cnty Probation Dept,"6631 North Stephens Ranch Road C68, La Verne, CA 91750",Mendenhall-Munz Boys Camp WWTP,"42220 Lake Hughes Road, Lake Hughes, CA 93539",34.651587,-118.481539,Wastewater Treatment Facility,9511,Los Angeles,4,WDRMUNIOTH,Active,WDR,94-101,4A190107076,,09/26/1994,09/26/1994,,,.02,,B,2,,,,0,0,
Los Angeles Cnty Sanitation Districts,"Po Box 4998, Whittier, CA 90607-4998",Saugus Water Reclamation Plant,"26200 Springbrook Avenue, Santa Clarita, CA 91350",34.413831,-118.539766,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,Reclamation Requirements,87-049-A01,4A190107083,,04/27/1987,04/27/1987,,,6.5,Major,B,2,,,,0,37,
Los Angeles Cnty Sanitation Districts,"Po Box 4998, Whittier, CA 90607-4998",Valencia WRP,"28185 The Old Road, Valencia, CA 91355",34.429975,-118.591001,Wastewater Treatment Facility,4941(+),Los Angeles,4,"NPDMUNILRG, REC",Active,Reclamation Requirements,87-048-A01,4A190107084,,04/27/1987,04/27/1987,,,4.5,Major,B,2,,,,0,45,
City of Santa Clarita ,"23920 Valencia Boulevard, Santa Clarita, CA 91355",Vista Canyon Water Factory,"17365 Humphreys Parkway, Santa Clarita, CA 91387",34.4146744,-118.4396601,Wastewater Treatment Facility,4952,Los Angeles,4,WDRMUNIOTH,Active,WDR,R4-2020-0049,4A190117002,,04/16/2020,04/16/2020,,,0.392,,B,2,,,,0,5,
Newhall Ranch SD,"1955 Workman Mill Road, Whittier, CA 90601",Newhall Ranch WRP,"Hwy 126 at Los  Angeles/Ventura County Line, Newhall, CA 91355",34.403166,-118.6896667,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2024-0390,4A190118001,CA0064556,12/19/2024,03/01/2025,,2030-02-28,2,Major,A,1,,,,0,5,
Paradise Ranch LLC,"36200 Paradise Ranch Road Park Office, Castaic, CA 91384",Paradise Ranch WWTP,"36200 Paradise Ranch Road, Castaic, CA 91384",34.572265,-118.689749,Wastewater Treatment Facility,4952(+),Los Angeles,4,WDRMUNIOTH,Active,WDR,R4-2011-0177,4A191030001,,11/10/2011,11/10/2011,,,.04,,B,2,,,,0,9,
Camarillo Sanitary District,,Camarillo WRP,"150 East Howard Road, Camarillo, CA 93012",34.193773651637,-119.002139824121,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560100001,,,07/09/2020,,,,"Major, Minor",,,,,,2,72,
Fillmore City,"250 Central Avenue, Fillmore, CA 93015-1907",Fillmore WWTP and Wastewater Recycling Plant,"C Street & River Street, Fillmore, CA 93015",34.39048,-118.94034,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4A560101001,,,07/09/2020,,,,Major,,,,,,0,0,
City of Fillmore,"250 Central Avenue, Fillmore, CA 93015",Fillmore Water Recycling Plant,"1580 River Street, Fillmore, CA 93015",34.39064,-118.94017,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0426,4A560101001,,12/21/2023,12/21/2023,,,1.8,,A,2,,,,0,0,
Ventura County Water and Sanitation,"6767 Spring Road P.O. Box 250, Moorpark, CA 93020",Moorpark WRF - WDR,"9550 Los Angeles Avenue, Moorpark, CA 93021",34.2714968,-118.936156,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0089,4A560103002,,04/27/2023,04/27/2023,,,5,Major,A,2,,,,0,0,
Ventura Cnty Special Districts,"Po Box 250, Moorpark, CA 93020",Moorpark WRF - WRR,"9550 Los Angeles Avenue, Moorpark, CA 93021",34.271889,-118.935988,Wastewater Treatment Facility,9511(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560103003,,,07/09/2020,,,,Major,,,,,,0,0,
Ojai Valley Sanitary District,"1072 Tico Road, Ojai, CA 93023",Ojai Valley WWTP,"6363 North Ventura Avenue, Ventura, CA 93001",34.34376667,-119.29798333,Wastewater Treatment Facility,4952,Ventura,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2023-0430,4A560104001,CA0053961,12/21/2023,02/01/2024,,2029-01-31,3,Major,A,1,,,,3,19,
Oxnard City Wastewater Division,"6001 South Perkins Road, Oxnard, CA 93033",Oxnard WWTP,"6001 South Perkins Road, Oxnard, CA 93033",34.141648,-119.185403,Wastewater Treatment Facility,4952,Ventura,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2024-0252,4A560105001,CA0054097,05/23/2024,07/01/2024,,2029-06-30,31.7,Major,A,1,,,,0,2,
Camrosa Water District,"7385 Santa Rosa Road, Camarillo, CA 93012",Camrosa Water Reclamation Facility,"1900 South Lewis Road, Camarillo, CA 93012",34.17162,-119.053202,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560106003,,,07/09/2020,,,,Major,,,,,,0,4,
Ventura City,"P.O. Box 2299, Ventura, CA 93002-2299",Ventura WRF,"1400 Spinnaker Drive, Ventura, CA 93002",34.23639,-119.25861,Wastewater Treatment Facility,4953(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC, WDR",Active,Co-Permitee,2020-0015-DWQ,4A560107001,,,07/09/2020,,,,Major,,,,,,1,27,
City of Ventura,"501 Poli Street 120, Ventura, CA 93001",Ventura WRF,"1400 Spinnaker Drive, Ventura, CA 93002",34.23639,-119.25861,Wastewater Treatment Facility,4953(+),Ventura,4,NPDMUNILRG,Active,NPDES Permit,R4-2025-0272,4A560107009,CA0064726,12/18/2025,12/18/2025,,2030-12-17,10,Major,A,1,,,,1,27,
Santa Paula City,"970 Ventura Street, Santa Paula, CA 93060",Santa Paula WRF,"926 Calpipe Road, Santa Paula, CA 93060",34.3353,-119.08293,Wastewater Treatment Facility,4952,Ventura,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4A560108002,,,07/09/2020,,,,,,,,,,0,6,
Ventura Regional Sanitation District,"4105 West Gonzalez Road, Oxnard, CA 93036",Jose Flores WWTP,"14195 Lirio Avenue, Saticoy, CA 93003",34.276133,-119.146775,Wastewater Treatment Facility,4952,Ventura,4,WDRMUNILRG,Active,WDR,R4-2013-0092,4A560109001,,06/06/2013,06/06/2013,,,.25,,B,2,,,,0,11,
Simi Valley City,"2929 Tapo Canyon Road, Simi Valley, CA 93063",Simi Valley WQCP,"600 West Los Angeles Avenue, Simi Valley, CA 93065",34.28594,-118.814288,Wastewater Treatment Facility,4952,Ventura,SB,"NPDMUNILRG, REC, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560110001,,,07/09/2020,,,,Major,,,,,,1,94,
Thousand Oaks City ,"2100 East Thousand Oaks Boulevard, Thousand Oaks, CA 91362",Hill Canyon WWTP,"9600 Santa Rosa Road, Camarillo, CA 93012",34.213194,-118.921167,Wastewater Treatment Facility,4952(+),Ventura,SB,"NPDMUNILRG, NPDNONMUNIPRCS, SLIC",Active,Co-Permitee,2020-0015-DWQ,4A560112001,,,07/09/2020,,,,"Major, Minor",,,,,,1,7,
Ventura County Water and Sanitation,"6767 Spring Road P.O. Box 250, Moorpark, CA 93020",New Piru WTF,"2815 East Telegraph Road, Piru, CA 93015",34.40082,-118.82542,Wastewater Treatment Facility,,Ventura,4,WDRMUNILRG,Active,WDR,R4-2023-0292,4A560114007,,06/22/2023,08/31/2023,,,.5,,B,2,,,,0,20,
Ventura County Water and Sanitation,"6767 Spring Road P.O. Box 250, Moorpark, CA 93020",Todd Road Jail WWTP,"600 South Todd Road, Santa Paula, CA 93060",34.30704,-119.111235,Wastewater Treatment Facility,4952,Ventura,4,WDRMUNIOTH,Active,WDR,R4-2024-0358,4A560121001,,09/26/2024,09/26/2024,,,.085,,B,2,,,,0,26,
Limoneira Co,"1411 Cummings Road, Santa Paula, CA 93060",Limoneira WWTP,"1141 Cummings Road, Santa Paula, CA 93060",34.33095,-119.126236,Wastewater Treatment Facility,4952,Ventura,4,"WDRINDIVLRG, WDRMUNILRG",Active,WDR,R4-2024-0300,4A565014002,,06/27/2024,06/27/2024,,,.18,,B,3,,,,0,0,
Avalon City,"Po Box 707, Avalon, CA 90704",Avalon WWTF,"123 Pebbly Beach Road, Avalon, CA 90704",33.342175,-118.318494,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2024-0253,4B190100001,CA0054372,05/23/2024,07/01/2024,,2029-06-30,1.2,Major,A,1,,,,2,39,
Burbank City DPW,"Po Box 6459, Burbank, CA 91510-6459",Burbank WRP,"740 North Lake Street, Burbank, CA 91502",34.18195,-118.319332,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R4-2023-0358,4B190101001,CA0055531,10/19/2023,01/01/2024,,2028-12-31,12.5,Major,A,1,,,,1,4,
Las Virgenes MWD,"4232 Las Virgenes Road, Calabasas, CA 91302",Tapia WRF,"731 Malibu Canyon Road, Calabasas, CA 91302",34.081499,-118.704268,Wastewater Treatment Facility,4952,Los Angeles,SB,"NPDMUNILRG, NPDNONMUNIPRCS, REC, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,4B190104001,,,07/09/2020,,,,"Major, Minor",,,,,,3,241,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Los Angeles-Glendale WWRP,"4600 Colorado Boulevard, Los Angeles, CA 90039",34.14081,-118.273975,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,NPDES Permit,R4-2022-0343,4B190106001,CA0053953,12/08/2022,02/01/2023,,2028-01-31,20,Major,A,1,,,,1,17,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Hyperion WWTP,"12000 Vista del Mar Boulevard, Playa Del Rey, CA 90293",33.924482,-118.431805,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R4-2023-0033,4B190106002,CA0109991,02/23/2023,05/01/2023,,2028-04-30,450,Major,A,1,,,,5,147,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Donald C. Tillman WWRP,"6100 Woodley Avenue, Van Nuys, CA 91406",34.179565,-118.481951,Wastewater Treatment Facility,4952,Los Angeles,4,"LNDISP, NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,NPDES Permit,R4-2022-0341,4B190106004,CA0056227,12/08/2022,02/01/2023,,2028-01-31,80,Major,A,1,,,,1,47,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Terminal Island Water Reclamation Plant,"445 Ferry Street, San Pedro, CA 90731",33.748967,-118.25265,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, SLIC",Active,NPDES Permit,R4-2021-0095,4B190106005,CA0053856,06/10/2021,08/01/2021,,2026-07-31,30,Major,A,1,,,,1,14,
Los Angeles City Bureau of Sanitation,"1149 South Broadway Street 9th Flr, Los Angeles, CA 90015",Hyperion Advanced Water Purification Facility,"12000 vista del mar Boulevard, Los Angeles, CA 90293",33.92570556,-118.4282611,Wastewater Treatment Facility,,Los Angeles,4,WDRMUNILRG,Active,WDR,R4-2023-0357,4B190106006,,10/19/2023,10/19/2023,,2028-10-19,1.5,,B,3,,,,0,0,
Los Angeles Cnty DPW Sewer Maintenance Div,"900 South Fremont Avenue, Alhambra, CA 91803",Malibu WPCP,"3260 Vista Pacifica Street, Malibu, CA 90265",34.036339,-118.697714,Wastewater Treatment Facility,4952,Los Angeles,4,WDRMUNIOTH,Active,WDR,98-088,4B190107003,,11/02/1998,11/02/1998,,,.0375,,B,2,,,,0,0,
Los Angeles Cnty DPW Sewer Maintenance Div,"900 South Fremont Avenue, Alhambra, CA 91803",Trancas WPCP,"6338 Paseo Canyon Drive, Malibu, CA 90265",34.031602537235,-118.839941425934,Wastewater Treatment Facility,4952,Los Angeles,4,WDRMUNILRG,Active,WDR,R4-2023-0294,4B190107004,,06/22/2023,06/22/2023,,,.22,,B,2,,,,0,0,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",A.K. Warren Water Resource Facility,"24501 South Figueroa Street, Carson, CA 90745",33.802811,-118.283795,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2023-0181,4B190107013,CA0053813,05/25/2023,07/01/2023,,2028-06-30,400,Major,A,1,,,,1,15,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Long Beach WRP,"7400 East Willow Street, Long Beach, CA 90815",33.800781,-118.088048,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2022-0032,4B190107014,CA0054119,02/10/2022,04/01/2022,,2027-03-31,25,Major,A,1,,,,1,22,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Los Coyotes WRP,"16515 Piuma Avenue, Cerritos, CA 90703",33.87972,-118.10722,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0142,4B190107015,CA0054011,12/09/2021,02/01/2022,,2027-01-31,37.5,Major,A,1,,,,0,11,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Whittier Narrows Water Reclamation Plant,"301 North Rosemead Boulevard, El Monte, CA 91733",34.032712,-118.068302,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0096,4B190107016,CA0053716,06/10/2021,08/01/2021,,2026-07-31,15,Major,A,1,,,,0,9,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",Pomona Water Reclamation Plant,"295 Humane Way, Pomona, CA 91766",34.055874,-117.790379,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNILRG, REC",Active,NPDES Permit,R4-2021-0097,4B190107019,CA0053619,06/10/2021,08/01/2021,,2026-07-31,15,Major,A,1,,,,0,35,
Joint Outfall System,"1955 Workman Mill Road, Whittier, CA 90601",San Jose Creek Water Reclamation Plant,"1965 South Workman Mill Road, Whittier, CA 90601",34.035108,-118.023042,Wastewater Treatment Facility,4952,Los Angeles,4,NPDMUNILRG,Active,NPDES Permit,R4-2021-0131,4B190107020,CA0053911,10/14/2021,12/01/2021,,2026-11-30,100,Major,A,1,,,,0,31,
Los Angeles Cnty DPW,"Po Box 1460, Alhambra, CA 91802-5912",Malibu Mesa WRP,"3863 Malibu Country Drive, Malibu, CA 90265",34.035694,-118.710344,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNIOTH, REC",Active,NPDES Permit,R4-2021-0062,4B190107048,CA0059099,04/08/2021,06/01/2021,,2026-05-31,.6,Minor,B,1,,,,0,1,
Los Angeles Cnty DPW Sewer Maintenance Div,"900 South Fremont Avenue, Alhambra, CA 91803",Malibu Mesa WRP,"3863 Malibu Country Drive, Malibu, CA 90265",34.035694,-118.710344,Wastewater Treatment Facility,4952,Los Angeles,4,"NPDMUNIOTH, REC",Active,Reclamation Requirements,00-167,4B190107055,,11/09/2000,11/09/2000,,2050-11-09,.20,Minor,B,3,,,,0,1,
Social Model Recovery Systems,"23701 East Fork Road, Azusa, CA 91702",River Community STP,"23701 East Fork Road, Azusa, CA 91702",34.23833,-117.77222,Wastewater Treatment Facility,9511,Los Angeles,4,"WDR, WDRMUNIOTH",Active,WDR,96-021,4B190107080,,04/01/1996,04/01/1996,,,.02,,B,2,,,,0,0,
"BMIF/BSLF II Rancho Malibu Ltd.c/o Vintage Rancho Malibu, LLC","18401 Von Karman Avenue 350, Irvine, CA 92612",Encinal Canyon Water Recycling Plant on Tract 46277,"approx 3600 Encinal Canyon Rd, Malibu, CA 90265",34.051389,-118.871667,Wastewater Treatment Facility,4952,Los Angeles,4,WDRMUNIOTH,Active,WDR,R4-2013-0019,4B190107100,,02/07/2013,02/07/2013,,,.025,,B,3,,,,0,0,
